Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
SC1,28/10/00,Falkirk,Ayr,3,0,H,1,0,H,3783.0,Craig MacKay,13.0,8.0,7.0,4.0,0.0,0.0,2.0,4.0,16.0,11.0,4.0,3.0,2.0,5.0,0.0,,20.0,50.0,1.85,3.2,3.6,,,,1.85,3.5,3.4,1.83,3.4,3.4,1.8,3.5,3.5
SC1,17/03/01,Morton,Raith Rvs,1,1,D,1,0,H,1150.0,John Fleming,9.0,15.0,7.0,6.0,0.0,1.0,2.0,2.0,16.0,13.0,5.0,1.0,1.0,1.0,0.0,,10.0,10.0,2.45,3.2,2.45,2.3,3.1,2.3,2.25,3.5,2.5,2.3,3.5,2.4,2.37,3.5,2.37
SC1,07/04/01,Ross County,Livingston,0,1,A,0,0,D,2549.0,Hugh Dallas,9.0,8.0,6.0,5.0,0.0,1.0,6.0,5.0,10.0,17.0,1.0,5.0,0.0,1.0,0.0,,0.0,10.0,3.15,3.25,1.95,3.0,3.1,1.9,,,,2.88,3.5,2.0,3.0,3.4,2.0
SC1,13/01/01,Morton,Airdrie,0,3,A,0,0,D,2606.0,Kevin Toner,10.0,18.0,4.0,8.0,0.0,0.0,4.0,6.0,14.0,9.0,3.0,1.0,2.0,2.0,0.0,,20.0,20.0,2.3,3.3,2.5,2.3,2.9,2.5,2.37,3.5,2.37,2.3,3.5,2.4,2.25,3.5,2.5
SC1,06/01/01,Ayr,Clyde,2,0,H,0,0,D,2481.0,Bobby Orr,11.0,2.0,4.0,1.0,0.0,0.0,9.0,4.0,7.0,6.0,2.0,3.0,0.0,0.0,0.0,,0.0,0.0,1.67,3.3,4.1,1.7,3.2,3.6,1.73,3.5,3.75,1.57,3.75,4.33,1.66,3.6,4.0
SC1,21/10/00,Clyde,Ross County,2,2,D,0,1,A,987.0,Gary Mitchell,14.0,8.0,6.0,6.0,1.0,0.0,8.0,3.0,9.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,10.0,10.0,1.93,3.45,2.9,,,,2.0,3.4,3.0,2.0,3.4,3.0,1.9,3.5,3.2
SC1,21/10/00,Morton,Falkirk,0,4,A,0,2,A,1503.0,Brian McGarry,7.0,13.0,1.0,8.0,0.0,0.0,3.0,10.0,7.0,9.0,3.0,5.0,0.0,1.0,2.0,0.0,50.0,10.0,3.5,3.4,1.8,,,,3.2,3.75,1.85,3.25,3.4,1.91,3.4,3.5,1.83
SC1,24/02/01,Morton,Clyde,0,1,A,0,0,D,1221.0,Ian Frickleton,9.0,10.0,2.0,6.0,0.0,0.0,3.0,9.0,13.0,13.0,3.0,7.0,1.0,1.0,0.0,0.0,10.0,10.0,2.65,3.1,2.3,2.4,3.0,2.3,,,,2.4,3.5,2.3,2.37,3.5,2.37
SC1,22/11/00,Airdrie,Clyde,1,3,A,1,0,H,1513.0,Martin Doran,7.0,10.0,2.0,9.0,0.0,0.0,3.0,6.0,16.0,18.0,4.0,2.0,4.0,4.0,1.0,0.0,65.0,40.0,,,,2.2,3.0,2.6,,,,2.25,3.5,2.5,2.37,3.5,2.37
SC1,17/03/01,Inverness C,Alloa,2,0,H,0,0,D,1613.0,Bobby Orr,8.0,5.0,5.0,3.0,0.0,0.0,6.0,3.0,10.0,8.0,1.0,5.0,1.0,1.0,0.0,0.0,10.0,10.0,1.65,3.4,4.4,1.55,3.5,4.2,1.67,3.6,4.0,1.62,3.5,4.33,1.66,3.6,4.0
SC1,12/08/00,Ross County,Clyde,0,2,A,0,1,A,2645.0,Alan Freeland,11.0,9.0,4.0,6.0,1.0,0.0,9.0,7.0,7.0,11.0,1.0,0.0,2.0,3.0,0.0,0.0,20.0,30.0,,,,,,,,,,2.4,3.25,2.5,2.25,3.5,2.5
SC1,14/04/01,Airdrie,Morton,0,2,A,0,1,A,1331.0,Brian McGarry,18.0,7.0,7.0,4.0,1.0,0.0,7.0,7.0,7.0,12.0,2.0,3.0,2.0,1.0,0.0,0.0,20.0,10.0,1.72,3.1,4.3,,,,,,,,,,1.72,3.75,3.6
SC1,07/10/00,Alloa,Clyde,3,1,H,1,0,H,740.0,Brian Cassidy,8.0,10.0,7.0,10.0,1.0,0.0,11.0,10.0,14.0,10.0,3.0,0.0,2.0,1.0,0.0,1.0,20.0,35.0,,,,,,,2.6,3.5,2.2,2.7,3.5,2.15,2.75,3.5,2.1
SC1,06/01/01,Raith Rvs,Morton,0,0,D,0,0,D,1721.0,Steven Kaney,5.0,7.0,0.0,4.0,0.0,0.0,3.0,7.0,15.0,20.0,5.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,1.65,3.4,4.2,1.6,3.3,4.0,1.57,3.75,4.5,1.6,3.75,4.0,1.66,3.75,3.8
SC1,26/08/00,Clyde,Morton,0,3,A,0,1,A,1431.0,Cammy Melville,13.0,11.0,4.0,7.0,1.0,0.0,6.0,3.0,14.0,14.0,1.0,5.0,2.0,4.0,0.0,0.0,20.0,40.0,,,,,,,1.65,3.6,4.0,1.62,3.5,4.5,1.53,3.6,5.0
SC1,07/10/00,Livingston,Ross County,3,1,H,1,0,H,2600.0,David Somers,17.0,7.0,6.0,1.0,0.0,0.0,7.0,6.0,7.0,12.0,4.0,3.0,0.0,3.0,0.0,1.0,0.0,55.0,,,,,,,1.65,3.6,4.0,1.5,3.75,5.25,1.5,3.8,5.0
SC1,27/03/01,Livingston,Ross County,1,1,D,1,1,D,2658.0,Dougie Smith,16.0,4.0,9.0,2.0,0.0,0.0,8.0,0.0,17.0,19.0,5.0,1.0,1.0,4.0,0.0,0.0,10.0,40.0,1.45,3.65,5.75,1.5,3.5,4.5,1.57,3.75,4.5,1.44,3.8,5.5,1.5,3.6,5.5
