Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
SC1,09/03/02,Falkirk,Raith Rvs,2.0,1.0,H,0.0,0.0,D,2680.0,"Clyde, G. T.",15.0,2.0,6.0,1.0,0.0,0.0,4.0,6.0,12.0,15.0,4.0,2.0,2.0,3.0,0.0,0.0,20.0,30.0,2.1,3.4,2.8,2.1,3.1,2.7,2.0,3.6,2.87,2.1,3.4,2.75,2.25,3.6,2.5,2.2,3.3,2.7
SC1,08/12/01,Arbroath,Clyde,2.0,1.0,H,1.0,0.0,H,813.0,M. Ritchie,11.0,7.0,5.0,3.0,0.0,0.0,10.0,3.0,15.0,12.0,0.0,3.0,3.0,3.0,0.0,0.0,30.0,30.0,2.3,3.2,2.72,2.2,3.1,2.5,,,,2.38,3.4,2.38,2.25,3.4,2.6,2.25,3.4,2.6
SC1,20/04/02,Partick,Raith Rvs,1.0,0.0,H,0.0,0.0,D,6028.0,"Dougal, S.",10.0,8.0,3.0,3.0,0.0,1.0,5.0,2.0,9.0,7.0,6.0,0.0,1.0,1.0,0.0,0.0,10.0,10.0,1.4,4.3,6.0,,,,1.57,3.75,4.5,,,,1.5,3.6,5.5,1.53,4.0,4.5
SC1,24/11/01,Ayr,Inverness C,3.0,0.0,H,1.0,0.0,H,1999.0,C. J. Melville,13.0,7.0,8.0,3.0,0.0,0.0,3.0,11.0,13.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.05,2.75,2.3,3.0,2.4,,,,2.3,3.3,2.5,2.25,3.6,2.5,2.37,3.3,2.5
SC1,02/03/02,Raith Rvs,Ayr,3.0,3.0,D,2.0,3.0,A,2010.0,"Toner, K. E.",11.0,9.0,5.0,6.0,0.0,0.0,6.0,6.0,5.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,3.4,2.37,2.3,3.1,2.3,2.5,3.5,2.25,2.6,3.4,2.2,2.5,3.6,2.25,2.4,3.4,2.4
SC1,27/10/01,Arbroath,Inverness C,3.0,2.0,H,1.0,1.0,D,773.0,A. C. Gemmill,9.0,13.0,6.0,9.0,1.0,0.0,2.0,2.0,12.0,10.0,4.0,0.0,3.0,3.0,0.0,0.0,30.0,30.0,2.57,3.1,2.42,2.35,3.1,2.35,,,,2.5,3.25,2.38,2.6,3.5,2.2,2.6,3.4,2.25
SC1,10/11/01,Ross County,St Mirren,0.0,1.0,A,0.0,0.0,D,3580.0,T. Brown,4.0,8.0,2.0,4.0,0.0,1.0,6.0,12.0,8.0,8.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,2.35,3.1,2.65,2.2,3.1,2.5,,,,2.38,3.4,2.4,2.5,3.25,2.38,2.3,3.3,2.6
SC1,16/02/02,Inverness C,Falkirk,3.0,2.0,H,1.0,1.0,D,1803.0,"Fyfe, I. M.",14.0,9.0,10.0,5.0,0.0,0.0,3.0,2.0,6.0,8.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,3.25,3.25,2.0,3.1,2.8,2.2,3.5,2.62,1.9,3.4,3.2,1.833,3.5,3.4,1.9,3.4,3.25
SC1,27/10/01,Falkirk,Raith Rvs,1.0,0.0,H,1.0,0.0,H,2391.0,T. M. McCurry,9.0,11.0,4.0,5.0,0.0,1.0,2.0,8.0,18.0,22.0,3.0,4.0,2.0,1.0,0.0,0.0,20.0,10.0,2.05,3.25,3.0,2.1,3.1,2.7,,,,2.1,3.4,2.75,2.1,3.5,2.75,2.2,3.4,2.62
SC1,11/08/01,Raith Rvs,Partick,1.0,2.0,A,0.0,1.0,A,3134.0,K. E. Toner,4.0,13.0,2.0,5.0,0.0,0.0,4.0,11.0,13.0,15.0,2.0,8.0,4.0,2.0,1.0,0.0,65.0,20.0,,,,2.3,3.1,2.3,2.37,3.5,2.37,,,,2.5,3.6,2.25,2.5,3.4,2.3
