Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
SC0,05/05/01,Hearts,Rangers,1,4,A,0,1,A,15158,Hugh Dallas,12.0,24.0,5.0,12.0,0.0,2.0,6.0,5.0,11.0,18.0,2,4,1,1,1,1,35,35,3.6,3.2,1.85,3.0,2.9,2.0,4.0,3.6,1.67,3.5,3.4,1.83,3.6,3.3,1.83
SC0,21/02/01,Dundee,Dunfermline,0,1,A,0,1,A,6113,Tom Brown,9.0,5.0,5.0,4.0,0.0,0.0,7.0,5.0,8.0,14.0,4,8,0,1,0,0,0,10,2.1,3.2,3.05,2.0,2.9,3.0,2.0,3.2,3.2,2.2,3.25,2.8,2.3,3.4,2.5
SC0,22/10/00,St Johnstone,Rangers,2,1,H,1,0,H,9200,Alan Freeland,11.0,13.0,6.0,3.0,0.0,0.0,7.0,5.0,15.0,12.0,3,5,3,2,0,0,30,20,6.0,3.5,1.45,4.7,3.4,1.5,7.0,3.75,1.4,7.5,3.75,1.4,7.5,3.6,1.4
SC0,11/11/00,Hibernian,Kilmarnock,1,1,D,1,0,H,12588,David Somers,,,,,,,,,,,0,0,1,1,0,0,10,10,1.75,3.2,4.0,1.75,3.1,3.6,1.57,3.5,5.0,1.62,3.6,4.5,1.61,3.5,4.5
SC0,27/08/00,Celtic,Rangers,6,2,H,3,1,H,59476,Stuart Dougal,13.0,11.0,8.0,4.0,0.0,0.0,3.0,2.0,15.0,16.0,0,4,3,4,0,1,30,65,2.9,3.2,2.2,2.4,2.9,2.4,2.75,3.25,2.2,2.63,3.2,2.4,2.75,3.2,2.25
SC0,09/09/00,Celtic,Hibernian,3,0,H,2,0,H,60091,John Rowbotham,21.0,7.0,9.0,3.0,0.0,0.0,9.0,1.0,16.0,13.0,1,1,1,3,0,0,10,30,1.38,4.05,6.15,1.4,3.6,5.5,1.45,3.75,6.0,1.44,3.75,6.5,1.4,3.6,7.5
SC0,06/05/01,Dundee United,Dunfermline,1,0,H,1,0,H,6679,Willie Young,11.0,6.0,7.0,2.0,1.0,0.0,6.0,2.0,14.0,16.0,2,1,1,0,0,0,10,0,1.72,3.4,4.0,1.7,3.1,3.8,1.57,3.75,4.5,1.62,3.5,4.5,1.66,3.4,4.33
SC0,29/07/00,St Mirren,Kilmarnock,0,1,A,0,0,D,7388,Willie Young,9.0,5.0,4.0,3.0,0.0,1.0,6.0,6.0,16.0,16.0,1,1,1,2,0,0,10,20,2.35,3.3,2.6,2.3,2.9,2.5,,,,2.38,3.2,2.63,2.4,3.25,2.5
SC0,14/10/00,Dundee United,Hearts,0,4,A,0,3,A,7016,Stuart Dougal,7.0,10.0,1.0,7.0,1.0,0.0,4.0,8.0,12.0,15.0,2,3,1,1,0,0,10,10,,,,3.0,2.9,2.0,3.0,3.2,2.1,3.0,3.25,2.1,3.4,3.25,1.9
SC0,25/11/00,Dundee United,Dunfermline,3,2,H,2,0,H,6012,John Fleming,8.0,4.0,5.0,3.0,0.0,0.0,3.0,3.0,14.0,10.0,3,5,2,5,1,2,45,100,2.65,3.35,2.25,3.1,3.0,1.9,2.5,3.2,2.5,2.75,3.25,2.25,2.75,3.2,2.25
