Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
SC0,02/01/03,Rangers,Dundee,3,1,H,2,1,H,T Brown,22.0,8.0,12.0,2.0,10.0,11.0,4.0,3.0,0,0,0,0,1.143,6.5,12.0,1.14,6.5,14.75,1.15,6.0,12.0,1.11,6.5,15.0,1.14,6.0,13.0,1.143,6.0,13.0,1.14,6.0,12.0,1.5,2.35
SC0,26/04/03,Dundee United,Hibernian,1,2,A,1,0,H,M McCurry,9.0,13.0,6.0,9.0,11.0,16.0,7.0,5.0,2,2,0,0,2.2,3.25,2.8,2.26,3.3,2.73,2.4,3.0,2.6,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.1,3.2,3.0,1.65,1.95
SC0,29/01/03,Kilmarnock,Motherwell,1,0,H,0,0,D,J Rowbotham,8.0,8.0,5.0,2.0,10.0,10.0,6.0,3.0,0,1,0,1,1.667,3.4,4.5,1.8,3.4,3.9,1.8,3.1,3.8,1.73,3.5,3.75,1.73,3.4,4.0,1.75,3.4,4.0,1.83,3.3,3.6,1.75,1.85
SC0,03/08/02,Dundee,Hearts,1,1,D,0,1,A,D McDonald,16.0,11.0,5.0,4.0,15.0,16.0,9.0,6.0,0,2,0,0,2.375,3.2,2.625,2.37,3.2,2.62,2.3,2.9,2.5,2.25,3.4,2.625,2.25,3.25,2.75,2.3,3.25,2.75,2.25,3.2,2.75,1.95,1.65
SC0,04/05/03,Dundee,Rangers,2,2,D,2,1,H,J Rowbotham,8.0,13.0,4.0,6.0,14.0,10.0,3.0,9.0,3,2,0,0,9.0,5.0,1.25,8.5,5.0,1.26,9.0,4.5,1.25,10.0,5.0,1.222,8.5,4.5,1.29,8.5,4.5,1.286,8.0,5.0,1.25,,
SC0,24/05/03,Dundee United,Aberdeen,0,2,A,0,0,D,H Dallas,5.0,11.0,2.0,5.0,16.0,7.0,2.0,5.0,1,0,0,0,2.4,3.2,2.6,2.4,3.3,2.5,,,,2.6,3.2,2.375,2.4,3.2,2.6,2.4,3.2,2.6,2.4,3.25,2.5,1.7,1.9
SC0,10/08/02,Dundee United,Kilmarnock,1,2,A,0,0,D,D McDonald,18.0,12.0,8.0,7.0,14.0,12.0,7.0,11.0,0,3,0,0,2.2,3.25,2.8,2.3,3.25,2.72,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.25,3.25,2.8,2.25,3.2,2.75,1.75,1.85
SC0,08/02/03,Hearts,Kilmarnock,3,0,H,0,0,D,C Thomson,14.0,4.0,8.0,1.0,15.0,22.0,8.0,2.0,1,4,0,1,1.8,3.4,3.75,1.8,3.5,3.75,1.9,3.1,3.5,2.0,3.4,3.0,1.83,3.25,3.75,1.85,3.25,3.75,1.83,3.3,3.6,1.7,1.9
SC0,02/02/03,Partick,Celtic,0,2,A,0,2,A,K Clark,6.0,14.0,4.0,7.0,16.0,15.0,1.0,3.0,1,1,0,0,10.0,5.0,1.22,11.0,5.0,1.22,9.0,4.5,1.25,11.0,5.0,1.2,10.0,5.0,1.22,10.0,5.0,1.22,8.0,5.0,1.25,1.5,2.25
SC0,05/04/03,Kilmarnock,Hibernian,6,2,H,3,1,H,J Underhill,14.0,12.0,8.0,8.0,11.0,19.0,3.0,6.0,0,3,0,0,1.8,3.4,3.75,1.85,3.3,3.75,1.85,3.1,3.6,1.8,3.5,3.5,1.83,3.25,3.75,1.833,3.25,3.75,1.83,3.3,3.6,1.9,1.7
SC0,07/05/03,Motherwell,Celtic,0,4,A,0,1,A,D McDonald,4.0,16.0,3.0,11.0,21.0,9.0,9.0,5.0,4,1,1,0,10.0,5.5,1.2,12.0,5.3,1.2,10.0,5.0,1.2,12.0,6.0,1.143,11.0,6.0,1.17,11.0,6.0,1.167,10.0,6.0,1.16,1.35,2.75
SC0,11/08/02,Hearts,Hibernian,5,1,H,2,0,H,M McCurry,18.0,9.0,14.0,4.0,16.0,14.0,6.0,4.0,1,0,0,0,2.2,3.2,2.875,2.18,3.25,3.15,2.2,3.0,2.9,2.1,3.2,3.0,2.1,3.25,3.0,2.2,3.2,3.0,2.2,3.0,3.0,2.03,1.6
SC0,28/09/02,Hibernian,Livingston,1,0,H,1,0,H,A Freeland,4.0,9.0,2.0,6.0,22.0,17.0,4.0,2.0,3,4,0,0,1.833,3.25,3.75,1.9,3.3,3.7,2.1,3.0,3.1,2.1,3.4,2.88,1.91,3.25,3.6,1.909,3.25,3.6,1.9,3.25,3.4,1.7,1.9
SC0,11/09/02,Kilmarnock,Partick,1,0,H,1,0,H,T Brown,14.0,7.0,5.0,3.0,10.0,14.0,4.0,2.0,2,0,0,0,1.727,3.25,4.333,1.76,3.3,4.0,1.9,3.1,3.5,1.667,3.4,4.333,1.73,3.25,4.33,1.727,3.4,4.333,1.72,3.4,4.0,1.65,1.95
SC0,31/08/02,Motherwell,Hibernian,0,2,A,0,1,A,K Clarke,2.0,8.0,1.0,4.0,21.0,16.0,5.0,4.0,3,4,0,0,2.0,3.25,3.25,2.05,3.25,3.35,2.0,3.1,3.2,1.909,3.25,3.4,2.0,3.25,3.25,2.0,3.3,3.3,2.2,3.25,2.75,1.65,1.95
SC0,14/09/02,Celtic,Hibernian,1,0,H,1,0,H,D McDonald,12.0,9.0,7.0,1.0,16.0,15.0,5.0,5.0,0,1,0,0,1.167,5.5,13.0,1.17,6.33,13.0,1.15,6.0,12.0,1.143,5.5,15.0,1.14,5.5,15.0,1.143,6.0,15.0,1.12,6.5,12.0,1.6,2.25
SC0,10/11/02,Rangers,Hibernian,2,1,H,2,1,H,M McCurry,13.0,8.0,5.0,3.0,7.0,34.0,9.0,3.0,0,5,0,0,1.143,6.5,12.0,1.18,6.0,12.5,1.15,6.0,12.0,1.14,6.0,12.0,1.12,6.5,13.0,1.143,6.5,13.0,1.12,6.0,15.0,1.44,2.52
SC0,26/12/02,Celtic,Hearts,4,2,H,2,1,H,H Dallas,11.0,8.0,8.0,2.0,10.0,12.0,12.0,4.0,1,1,0,0,1.167,6.0,11.0,1.15,6.2,13.0,1.15,6.0,12.0,1.14,6.0,12.0,1.14,6.5,12.0,1.143,6.5,12.0,1.16,5.5,12.0,1.4,2.5
SC0,03/08/02,Hibernian,Aberdeen,1,2,A,1,0,H,K Toner,12.0,8.0,4.0,2.0,17.0,11.0,7.0,3.0,3,0,0,0,2.375,3.2,2.625,2.37,3.2,2.62,2.2,3.0,2.6,2.4,3.25,2.5,2.25,3.25,2.75,2.375,3.2,2.7,2.25,3.2,2.75,1.95,1.65
SC0,12/04/03,Aberdeen,Dunfermline,1,0,H,1,0,H,I Brines,9.0,5.0,3.0,2.0,8.0,11.0,3.0,5.0,1,2,0,1,2.4,3.2,2.6,2.37,3.2,2.72,2.1,3.1,3.0,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.37,3.3,2.5,1.7,1.9
SC0,06/10/02,Celtic,Rangers,3,3,D,1,1,D,S Dougal,15.0,7.0,10.0,4.0,9.0,15.0,7.0,3.0,3,4,0,0,2.25,3.0,3.0,2.28,3.15,2.88,2.2,3.0,2.9,2.2,3.2,2.8,2.2,3.25,2.88,2.25,3.25,2.875,2.2,3.2,2.8,1.7,1.9
SC0,10/05/03,Dundee,Dunfermline,2,2,D,1,0,H,C Murray,13.0,6.0,8.0,5.0,10.0,16.0,7.0,6.0,1,2,0,0,2.0,3.25,3.25,2.0,3.25,3.4,2.0,3.1,3.2,1.8,3.25,3.75,2.0,3.25,3.25,2.0,3.25,3.25,1.9,3.3,3.3,1.7,1.95
SC0,16/11/02,Aberdeen,Rangers,2,2,D,0,1,A,S Dougal,7.0,11.0,5.0,7.0,18.0,9.0,6.0,3.0,3,2,0,0,8.0,4.5,1.3,9.0,5.0,1.26,9.0,4.5,1.25,8.0,4.33,1.3,8.5,4.5,1.29,9.0,4.5,1.286,8.0,4.33,1.3,1.45,2.35
SC0,05/04/03,Dunfermline,Motherwell,3,0,H,1,0,H,D Somers,10.0,6.0,4.0,2.0,15.0,15.0,8.0,3.0,1,2,0,1,1.727,3.5,4.0,1.7,3.4,4.45,1.7,3.2,4.2,1.727,3.4,4.0,1.67,3.4,4.5,1.667,3.4,4.5,1.61,3.5,4.5,1.7,1.9
SC0,29/12/02,Kilmarnock,Rangers,0,1,A,0,1,A,D McDonald,7.0,13.0,3.0,5.0,9.0,11.0,3.0,11.0,2,1,0,0,9.0,4.5,1.286,8.5,4.5,1.35,6.0,3.9,1.4,8.0,4.5,1.29,9.0,5.0,1.25,9.0,5.0,1.25,8.0,4.33,1.3,1.51,2.25
SC0,16/11/02,Motherwell,Dundee United,1,2,A,0,2,A,I Brines,13.0,10.0,10.0,6.0,18.0,19.0,5.0,1.0,0,0,0,0,2.3,3.2,2.7,2.28,3.3,2.75,2.4,3.0,2.6,2.4,3.25,2.5,2.38,3.2,2.63,2.375,3.2,2.7,2.37,3.3,2.5,1.75,1.85
SC0,25/08/02,Livingston,Kilmarnock,0,1,A,0,1,A,S Dougal,9.0,11.0,4.0,5.0,16.0,17.0,7.0,4.0,2,2,0,0,1.833,3.25,3.75,1.82,3.3,4.0,1.9,3.1,3.5,1.8,3.25,3.75,1.73,3.25,4.33,1.8,3.3,4.0,1.8,3.3,3.75,1.7,1.9
SC0,26/12/02,Motherwell,Rangers,1,0,H,0,0,D,W Young,10.0,14.0,3.0,10.0,13.0,10.0,6.0,10.0,2,3,0,0,10.0,5.5,1.2,10.85,5.5,1.2,9.0,4.5,1.25,11.0,5.0,1.2,10.0,5.5,1.2,10.0,5.5,1.2,9.5,5.0,1.22,1.45,2.35
SC0,26/04/03,Aberdeen,Livingston,1,0,H,1,0,H,J Underhill,12.0,8.0,6.0,2.0,8.0,16.0,7.0,5.0,2,2,0,1,1.833,3.25,3.75,2.05,3.3,3.1,2.0,3.1,3.2,2.0,3.4,3.0,1.91,3.25,3.5,1.909,3.25,3.5,2.0,3.2,3.2,1.7,1.9
SC0,10/05/03,Celtic,Hearts,1,0,H,1,0,H,M McCurry,6.0,5.0,2.0,2.0,9.0,24.0,4.0,3.0,1,2,0,0,1.167,6.0,11.0,1.15,6.25,12.0,1.15,6.0,12.0,1.167,5.5,12.0,1.14,6.0,13.0,1.143,6.0,13.0,1.16,6.0,10.0,1.45,2.35
SC0,15/02/03,Rangers,Hearts,1,0,H,1,0,H,J Underhill,14.0,6.0,2.0,3.0,5.0,16.0,6.0,7.0,0,6,0,0,1.167,6.0,11.0,1.25,5.75,9.0,1.25,4.5,9.0,1.14,5.5,15.0,1.14,6.0,13.0,1.143,6.0,13.0,1.14,6.0,12.0,1.5,2.25
SC0,27/10/02,Dunfermline,Celtic,1,4,A,0,2,A,D McDonald,9.0,17.0,4.0,14.0,11.0,7.0,5.0,3.0,0,1,0,0,9.0,4.5,1.286,8.0,4.5,1.31,8.0,4.2,1.3,8.0,4.5,1.29,8.5,4.5,1.29,8.5,4.5,1.286,8.0,4.5,1.28,1.42,2.5
SC0,16/11/02,Hibernian,Dundee,2,1,H,1,0,H,H Dallas,14.0,13.0,7.0,6.0,22.0,14.0,7.0,5.0,1,1,0,0,1.8,3.4,3.75,1.92,3.4,3.45,2.0,3.1,3.2,1.91,3.5,3.2,2.0,3.25,3.25,1.909,3.4,3.5,2.0,3.2,3.2,1.7,1.9
SC0,01/09/02,Dunfermline,Rangers,0,6,A,0,3,A,D McDonald,6.0,12.0,3.0,11.0,16.0,15.0,5.0,11.0,2,1,0,0,7.5,4.333,1.333,7.75,4.2,1.41,6.0,3.9,1.4,7.0,3.75,1.4,7.5,4.0,1.36,8.0,4.0,1.364,8.0,3.75,1.36,1.55,2.1
SC0,11/09/02,Hibernian,Dunfermline,1,4,A,1,3,A,S Dougal,4.0,11.0,4.0,10.0,11.0,10.0,4.0,4.0,0,1,0,0,2.0,3.25,3.25,2.0,3.3,3.2,2.0,3.1,3.2,2.1,3.4,2.875,2.1,3.25,3.0,2.1,3.2,3.2,2.0,3.2,3.2,1.7,1.9
SC0,10/05/03,Livingston,Dundee United,1,2,A,0,1,A,K Clark,17.0,8.0,10.0,5.0,17.0,15.0,7.0,2.0,2,1,0,0,2.1,3.4,2.8,2.0,3.3,3.2,,,,2.0,3.4,3.0,1.91,3.4,3.4,1.909,3.4,3.4,2.0,3.3,3.1,1.8,1.8
SC0,03/08/02,Kilmarnock,Rangers,1,1,D,0,1,A,K Clark,6.0,16.0,4.0,9.0,17.0,15.0,2.0,10.0,1,0,0,0,7.5,3.75,1.4,6.4,3.7,1.45,5.5,3.6,1.4,6.5,4.0,1.4,6.5,3.75,1.44,7.0,3.75,1.444,7.0,3.75,1.4,1.6,2.0
SC0,19/10/02,Aberdeen,Dundee,0,0,D,0,0,D,M McCurry,8.0,5.0,5.0,3.0,16.0,18.0,5.0,2.0,1,2,0,0,1.909,3.25,3.5,2.05,3.25,3.55,1.9,3.1,3.5,1.91,3.25,3.4,1.83,3.4,3.75,1.909,3.3,3.6,1.83,3.3,3.6,1.8,1.83
SC0,30/11/02,Dundee United,Aberdeen,1,1,D,1,1,D,W Young,12.0,6.0,8.0,4.0,14.0,23.0,7.0,1.0,1,2,0,0,2.3,3.2,2.7,2.25,3.2,2.8,2.3,3.0,2.7,2.4,3.25,2.5,2.38,3.2,2.63,2.375,3.2,2.625,2.2,3.2,2.8,1.75,1.85
SC0,26/12/02,Dunfermline,Kilmarnock,0,2,A,0,0,D,J Underhill,8.0,5.0,4.0,2.0,8.0,13.0,11.0,3.0,1,2,0,0,1.833,3.25,3.75,1.9,3.3,3.62,1.9,3.1,3.5,1.91,3.25,3.4,1.91,3.25,3.5,1.909,3.25,3.5,1.83,3.3,3.6,1.7,1.9
SC0,04/12/02,Dunfermline,Dundee United,4,1,H,3,0,H,K Toner,8.0,10.0,6.0,6.0,13.0,12.0,2.0,6.0,0,1,0,0,1.667,3.5,4.333,1.7,3.4,4.3,1.75,3.2,4.0,1.73,3.5,3.75,1.7,3.4,4.33,1.7,3.4,4.333,1.61,3.5,4.5,1.7,1.9
SC0,28/01/03,Aberdeen,Hearts,0,1,A,0,0,D,H Dallas,5.0,5.0,2.0,1.0,9.0,13.0,7.0,4.0,0,1,0,0,2.5,3.2,2.5,2.5,3.1,2.6,2.5,3.0,2.5,2.25,3.4,2.62,2.38,3.2,2.63,2.375,3.2,2.625,2.5,3.1,2.5,1.8,1.8
SC0,01/03/03,Dundee United,Dunfermline,3,0,H,1,0,H,Tom Brown,14.0,11.0,7.0,4.0,13.0,12.0,4.0,9.0,0,1,0,0,2.625,3.2,2.375,2.62,3.25,2.37,2.5,3.0,2.5,2.5,3.25,2.4,2.63,3.2,2.38,2.625,3.2,2.375,2.5,3.25,2.4,1.7,1.9
SC0,21/12/02,Kilmarnock,Hibernian,2,1,H,0,0,D,H Dallas,8.0,10.0,3.0,5.0,10.0,17.0,6.0,4.0,2,1,0,0,2.3,3.2,2.7,2.2,3.2,2.9,2.2,3.2,2.7,2.1,3.4,2.8,2.2,3.25,2.8,2.2,3.25,2.8,2.2,3.2,2.8,1.9,1.7
SC0,21/09/02,Hearts,Dundee United,2,0,H,1,0,H,S Dougal,10.0,12.0,9.0,4.0,17.0,10.0,4.0,6.0,1,3,0,0,1.615,3.4,5.0,1.6,3.4,5.2,1.75,3.2,4.0,1.667,3.4,4.333,1.62,3.4,5.0,1.615,3.5,5.0,1.57,3.5,5.0,1.65,1.95
SC0,07/12/02,Dundee United,Hibernian,1,1,D,1,1,D,D McDonald,3.0,13.0,2.0,7.0,15.0,15.0,10.0,13.0,3,2,0,0,2.5,3.2,2.5,2.6,3.25,2.4,2.6,3.1,2.3,2.6,3.2,2.38,2.63,3.2,2.38,2.625,3.2,2.375,2.6,3.1,2.4,1.7,1.9
SC0,13/04/03,Celtic,Kilmarnock,2,0,H,1,0,H,A Freeland,17.0,2.0,10.0,1.0,9.0,13.0,15.0,1.0,1,4,0,0,1.143,6.5,12.0,1.15,6.0,13.0,1.15,6.0,12.0,1.167,5.5,12.0,1.14,6.0,13.0,1.143,6.0,13.0,1.16,5.5,12.0,1.4,2.5
SC0,05/04/03,Rangers,Partick,2,0,H,0,0,D,K Clark,22.0,4.0,11.0,4.0,11.0,16.0,7.0,0.0,0,1,0,0,1.1,7.0,15.0,1.1,7.4,17.0,1.1,7.0,15.0,1.111,6.0,17.0,1.11,6.5,17.0,1.111,6.5,17.0,1.11,6.5,15.0,1.5,2.5
SC0,12/04/03,Motherwell,Dundee,1,2,A,0,2,A,J Underhill,14.0,10.0,5.0,5.0,12.0,14.0,7.0,3.0,0,2,0,0,2.625,3.4,2.25,2.8,3.2,2.3,2.6,3.1,2.3,2.5,3.25,2.4,2.63,3.2,2.38,2.6,3.25,2.375,2.75,3.2,2.25,1.7,1.9
SC0,01/03/03,Kilmarnock,Aberdeen,2,0,H,0,0,D,J Underhill,7.0,8.0,5.0,4.0,10.0,17.0,1.0,3.0,1,1,0,1,1.727,3.5,4.0,1.81,3.25,4.0,1.75,3.2,4.0,1.67,3.6,4.0,1.73,3.4,4.0,1.75,3.4,4.0,1.72,3.4,4.0,1.75,1.85
SC0,08/03/03,Livingston,Hearts,1,1,D,0,1,A,A Freeland,7.0,7.0,2.0,3.0,11.0,16.0,6.0,3.0,2,2,0,0,2.625,3.2,2.375,2.75,3.25,2.32,2.6,3.0,2.4,2.5,3.25,2.4,2.75,3.25,2.25,2.75,3.2,2.3,2.75,3.2,2.25,1.8,1.9
SC0,11/09/02,Aberdeen,Dundee United,1,2,A,1,2,A,H Dallas,12.0,12.0,4.0,7.0,12.0,19.0,4.0,2.0,1,3,0,0,1.909,3.25,3.5,1.95,3.3,3.5,1.9,3.1,3.5,2.0,3.2,3.2,1.83,3.25,3.75,2.0,3.25,3.25,1.8,3.4,3.6,1.7,1.9
SC0,19/10/02,Kilmarnock,Dunfermline,2,2,D,0,1,A,I Fyfe,11.0,9.0,9.0,6.0,15.0,13.0,7.0,3.0,1,2,0,0,2.375,3.2,2.625,2.33,3.2,2.8,2.1,3.1,3.0,2.2,3.25,2.75,2.2,3.25,2.88,2.3,3.2,2.8,2.1,3.2,3.0,1.8,1.83
SC0,29/01/03,Hibernian,Rangers,0,2,A,0,0,D,K Clark,4.0,9.0,2.0,2.0,21.0,13.0,6.0,9.0,4,2,1,0,7.5,4.333,1.333,7.5,4.3,1.35,5.4,3.8,1.45,8.0,4.5,1.29,7.5,4.33,1.33,7.5,4.333,1.333,7.5,4.2,1.33,1.5,2.25
SC0,06/04/03,Dundee,Celtic,1,1,D,1,1,D,W Young,8.0,10.0,5.0,6.0,9.0,5.0,5.0,11.0,0,0,0,0,9.0,5.0,1.25,10.0,5.0,1.25,9.0,4.5,1.25,8.0,4.5,1.286,8.5,5.0,1.25,9.0,5.0,1.25,8.0,4.5,1.28,1.45,2.28
SC0,12/11/02,Dundee,Dunfermline,2,3,A,2,1,H,A Freeland,14.0,12.0,9.0,9.0,16.0,12.0,11.0,5.0,3,1,1,0,2.375,3.2,2.625,2.4,3.25,2.6,2.3,3.0,2.7,2.1,3.2,3.0,2.2,3.25,2.8,2.25,3.25,2.75,2.25,3.2,2.75,1.7,1.9
SC0,21/09/02,Hibernian,Kilmarnock,2,0,H,2,0,H,J Rowbotham,8.0,5.0,5.0,1.0,12.0,14.0,3.0,7.0,2,0,0,0,2.5,3.2,2.5,2.55,3.2,2.45,2.5,3.0,2.5,2.625,3.4,2.25,2.63,3.2,2.38,2.625,3.2,2.4,2.62,3.1,2.37,1.7,1.9
SC0,11/05/03,Rangers,Kilmarnock,4,0,H,2,0,H,A Freeland,22.0,7.0,11.0,2.0,10.0,19.0,11.0,3.0,0,5,0,0,1.143,6.5,12.0,1.15,6.25,12.0,1.15,6.0,12.0,1.167,5.5,12.0,1.14,6.0,13.0,1.143,6.0,13.0,1.14,6.0,12.0,1.45,2.35
SC0,10/08/02,Motherwell,Partick,1,1,D,0,0,D,C Thomson,4.0,11.0,3.0,4.0,27.0,14.0,5.0,3.0,3,1,0,0,2.2,3.25,2.8,2.25,3.3,2.8,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.25,3.0,2.2,3.2,3.0,2.2,3.2,2.8,1.7,1.9
SC0,29/12/02,Partick,Dundee United,0,0,D,0,0,D,A Freeland,11.0,11.0,3.0,4.0,14.0,20.0,4.0,7.0,3,3,0,0,1.909,3.25,3.5,1.87,3.35,3.8,1.8,3.1,3.8,1.83,3.4,3.5,1.8,3.4,3.75,1.8,3.4,3.75,1.9,3.4,3.25,1.7,1.9
SC0,01/02/03,Hearts,Dunfermline,3,0,H,1,0,H,D McDonald,20.0,8.0,10.0,5.0,12.0,14.0,14.0,2.0,1,2,0,1,1.83,3.25,3.75,1.92,3.3,3.48,1.85,3.1,3.6,1.91,3.4,3.25,1.91,3.25,3.5,1.91,3.25,3.5,2.0,3.2,3.2,1.7,1.9
SC0,21/12/02,Celtic,Dundee,2,0,H,1,0,H,D McDonald,11.0,2.0,4.0,1.0,14.0,16.0,4.0,2.0,3,2,0,0,1.125,6.5,13.0,1.16,6.15,13.5,1.1,7.0,15.0,1.12,6.0,15.0,1.13,6.5,13.0,1.125,6.5,13.0,1.12,6.5,12.0,1.5,2.5
SC0,05/03/03,Dundee,Livingston,0,0,D,0,0,D,W Young,8.0,7.0,4.0,5.0,8.0,19.0,6.0,5.0,0,2,0,0,1.8,3.25,4.0,1.75,3.4,4.2,1.9,3.1,3.5,1.67,3.6,4.0,1.73,3.25,4.33,1.73,3.25,4.33,1.72,3.5,3.8,1.75,1.85
SC0,17/05/03,Livingston,Hibernian,1,2,A,0,1,A,I Fyfe,8.0,9.0,2.0,2.0,16.0,22.0,3.0,6.0,0,2,0,0,2.5,3.2,2.5,2.45,3.2,2.6,,,,2.6,3.2,2.38,2.5,3.2,2.5,2.5,3.2,2.5,2.4,3.25,2.5,1.7,1.9
SC0,15/09/02,Hearts,Motherwell,4,2,H,1,2,A,H Dallas,18.0,9.0,12.0,4.0,14.0,17.0,5.0,6.0,2,4,0,0,1.667,3.4,4.5,1.9,3.4,4.5,1.8,3.1,3.8,1.727,3.5,3.75,1.67,3.4,4.5,1.7,3.4,4.5,1.66,3.4,4.33,1.7,1.9
SC0,08/02/03,Dunfermline,Rangers,1,3,A,0,1,A,H Dallas,7.0,7.0,4.0,4.0,16.0,10.0,3.0,11.0,2,1,0,0,9.0,4.5,1.286,7.65,4.75,1.3,6.0,3.9,1.4,11.0,5.0,1.2,8.5,5.0,1.25,9.0,5.0,1.25,8.0,4.5,1.28,1.5,2.25
SC0,29/12/02,Hibernian,Aberdeen,2,0,H,0,0,D,J Rowbotham,17.0,8.0,9.0,4.0,15.0,7.0,7.0,0.0,0,1,0,0,1.727,3.5,4.0,1.8,3.4,4.1,1.85,3.1,3.6,1.83,3.4,3.5,1.73,3.4,4.0,1.75,3.4,4.0,1.72,3.25,4.2,1.7,1.9
SC0,08/02/03,Motherwell,Hibernian,2,1,H,2,0,H,C Richmond,6.0,7.0,4.0,3.0,19.0,24.0,1.0,5.0,3,6,0,0,2.625,3.2,2.375,2.6,3.15,2.45,2.5,3.0,2.5,2.38,3.5,2.38,2.62,3.2,2.38,2.6,3.2,2.4,2.62,3.2,2.3,1.85,1.75
SC0,09/02/03,Celtic,Livingston,2,1,H,0,0,D,Michael McCurry,11.0,5.0,9.0,5.0,14.0,18.0,9.0,2.0,2,3,0,0,1.1,7.0,15.0,1.11,6.5,15.0,1.15,6.0,12.0,1.1,6.5,17.0,1.11,6.5,17.0,1.111,6.5,17.0,1.11,6.5,15.0,1.4,2.5
SC0,09/02/03,Dundee United,Dundee,1,1,D,1,1,D,John Rowbotham,11.0,11.0,5.0,9.0,19.0,13.0,5.0,3.0,3,0,1,0,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.0,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.8,1.8
SC0,05/04/03,Livingston,Aberdeen,1,2,A,1,2,A,H Dallas,18.0,15.0,12.0,9.0,14.0,6.0,4.0,8.0,2,1,0,0,2.2,3.25,2.8,2.2,3.3,2.9,2.2,3.0,2.9,2.2,3.2,2.8,2.2,3.25,2.8,2.2,3.2,2.875,2.2,3.25,2.75,1.75,1.85
SC0,05/04/03,Hearts,Dundee United,2,1,H,0,1,A,I Brines,15.0,3.0,11.0,1.0,21.0,17.0,10.0,2.0,1,1,0,0,1.571,3.6,5.0,1.62,3.45,5.0,1.6,3.4,4.6,1.667,3.4,4.333,1.62,3.4,5.0,1.615,3.4,5.0,1.57,3.5,5.0,1.7,1.9
SC0,14/05/03,Celtic,Dundee,6,2,H,3,1,H,T Brown,12.0,7.0,7.0,4.0,10.0,8.0,11.0,1.0,1,0,0,0,1.11,7.0,13.0,1.13,6.0,15.0,1.15,6.0,12.0,1.13,6.5,12.0,1.13,6.5,13.0,1.13,6.5,13.0,1.12,6.0,15.0,,
SC0,10/11/02,Dundee United,Celtic,0,2,A,0,1,A,J Underhill,8.0,12.0,4.0,6.0,19.0,14.0,4.0,9.0,2,3,0,0,10.0,5.0,1.222,10.0,5.1,1.24,9.0,4.5,1.25,11.0,5.0,1.2,10.0,5.5,1.2,11.0,5.5,1.2,11.0,5.0,1.2,1.44,2.55
SC0,02/01/03,Motherwell,Partick,2,2,D,1,1,D,I Fyfe,16.0,11.0,8.0,5.0,22.0,19.0,3.0,0.0,6,4,1,0,2.1,3.25,3.0,2.1,3.3,3.05,1.9,3.1,3.5,1.83,3.5,3.4,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.2,3.0,1.85,1.75
SC0,21/09/02,Rangers,Partick,3,0,H,2,0,H,K Toner,23.0,9.0,12.0,2.0,8.0,12.0,7.0,6.0,0,2,0,0,1.167,6.0,11.0,1.15,6.2,12.5,1.15,6.0,12.0,1.167,5.5,12.0,1.14,6.0,13.0,1.154,6.0,13.0,1.14,6.0,12.0,1.5,2.2
SC0,24/08/02,Hearts,Dunfermline,2,0,H,0,0,D,K Toner,10.0,6.0,10.0,6.0,16.0,11.0,8.0,6.0,1,3,0,0,1.727,3.25,4.333,1.69,3.4,4.65,1.8,3.1,3.8,1.727,3.4,4.0,1.73,3.25,4.33,1.75,3.3,4.333,1.72,3.2,4.33,1.7,1.9
SC0,10/05/03,Aberdeen,Partick,2,1,H,0,1,A,C Thomson,11.0,5.0,6.0,2.0,10.0,15.0,10.0,5.0,2,0,0,0,1.8,3.25,4.0,1.82,3.33,3.85,1.9,3.1,3.5,1.727,3.5,3.75,1.83,3.25,3.75,1.833,3.25,3.75,1.9,3.25,3.4,1.9,1.7
SC0,29/12/02,Celtic,Dunfermline,1,0,H,1,0,H,S Dougal,10.0,5.0,8.0,2.0,4.0,15.0,9.0,2.0,0,3,0,0,1.143,6.5,12.0,1.2,6.66,12.0,1.15,6.0,12.0,1.12,6.0,15.0,1.14,6.0,13.0,1.143,6.0,13.0,1.16,5.5,12.0,1.46,2.6
SC0,31/08/02,Hearts,Kilmarnock,1,1,D,1,1,D,D Somers,18.0,5.0,9.0,2.0,17.0,22.0,14.0,4.0,0,5,0,1,1.833,3.25,3.75,1.84,3.3,4.05,2.0,3.1,3.2,1.8,3.25,3.75,1.91,3.25,3.5,1.909,3.3,3.6,1.8,3.3,3.75,1.75,1.85
