Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
SC0,04/12/02,Dundee,Partick,4,1,H,1,0,H,H Dallas,14.0,7.0,10.0,4.0,12.0,10.0,4.0,7.0,2,2,0,0,1.727,3.5,4.0,1.85,3.35,3.65,1.9,3.1,3.5,1.83,3.4,3.6,1.83,3.4,3.6,1.833,3.4,3.6,1.83,3.4,3.5,1.75,1.85
SC0,25/05/03,Kilmarnock,Celtic,0,4,A,0,2,A,K Clark,3.0,18.0,2.0,9.0,23.0,11.0,1.0,12.0,4,5,0,0,13.0,6.5,1.125,12.0,6.0,1.16,9.0,4.5,1.25,12.0,5.5,1.167,11.0,6.0,1.17,12.0,6.5,1.143,10.0,6.5,1.14,,
SC0,27/10/02,Rangers,Kilmarnock,6,1,H,4,1,H,W Young,23.0,5.0,16.0,4.0,4.0,14.0,12.0,1.0,0,2,0,0,1.143,6.5,12.0,1.15,6.0,13.0,1.15,6.0,12.0,1.14,6.0,12.0,1.14,6.0,13.0,1.143,6.0,13.0,1.14,6.0,12.0,1.41,2.7
SC0,07/12/02,Aberdeen,Motherwell,1,1,D,1,0,H,C Thomson,7.0,5.0,4.0,1.0,22.0,24.0,2.0,8.0,4,3,1,0,1.727,3.5,4.0,1.66,3.45,4.75,1.75,3.2,4.0,1.62,3.5,4.5,1.73,3.4,4.2,1.727,3.4,4.2,1.66,3.3,4.5,1.7,1.9
SC0,08/03/03,Dundee,Kilmarnock,2,2,D,2,0,H,H Dallas,19.0,11.0,11.0,6.0,9.0,15.0,4.0,3.0,0,0,0,0,2.2,3.25,2.8,2.28,3.3,2.75,2.4,3.0,2.6,2.0,3.6,2.88,2.2,3.25,2.8,2.2,3.25,2.8,2.2,3.25,2.75,1.8,1.9
SC0,14/12/02,Dundee,Motherwell,1,1,D,1,1,D,M McCurry,14.0,12.0,9.0,7.0,13.0,17.0,9.0,5.0,1,2,0,0,1.727,3.5,4.0,1.8,3.4,3.8,1.8,3.1,3.8,1.67,3.4,4.33,1.8,3.4,3.75,1.8,3.4,3.75,1.8,3.4,3.6,1.65,1.95
SC0,23/02/03,Kilmarnock,Partick,1,0,H,1,0,H,I Brines,6.0,5.0,1.0,0.0,17.0,15.0,5.0,16.0,1,2,0,0,1.727,3.4,4.0,1.75,3.35,4.15,1.75,3.2,4.0,1.73,3.4,4.0,1.73,3.4,4.0,1.727,3.4,4.0,1.72,3.4,4.0,1.75,1.85
SC0,18/05/03,Hearts,Rangers,0,2,A,0,0,D,H Dallas,7.0,11.0,0.0,1.0,19.0,9.0,6.0,13.0,1,2,0,0,7.0,4.5,1.33,8.0,5.0,1.27,7.0,4.0,1.35,8.0,4.5,1.29,8.5,5.0,1.25,9.0,5.0,1.25,10.0,4.5,1.25,1.4,2.5
SC0,02/01/03,Hearts,Hibernian,4,4,D,1,2,A,S Dougal,14.0,12.0,11.0,5.0,14.0,27.0,4.0,4.0,4,4,0,0,2.25,3.0,3.0,2.15,3.25,2.98,2.1,3.1,3.0,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.2,3.25,2.75,1.7,1.9
SC0,02/11/02,Dundee,Rangers,0,3,A,0,1,A,I Fyfe,8.0,12.0,4.0,8.0,8.0,15.0,1.0,13.0,0,1,1,0,8.0,4.5,1.3,7.5,4.35,1.35,7.0,4.0,1.35,8.0,4.5,1.29,8.5,4.5,1.29,8.0,4.5,1.3,8.0,4.5,1.28,,
SC0,22/09/02,Dundee,Celtic,0,1,A,0,1,A,J Underhill,12.0,14.0,5.0,5.0,6.0,18.0,5.0,6.0,1,1,0,0,9.0,4.5,1.286,12.0,4.85,1.27,8.0,4.2,1.3,8.0,4.5,1.286,10.0,4.5,1.25,10.0,4.5,1.286,8.0,3.75,1.36,1.5,2.2
