Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA
E2,30/11/02,Blackpool,Notts County,1,1,D,1,0,H,L Mason,15.0,7.0,10.0,3.0,16.0,17.0,5.0,4.0,3,4,0,0,1.727,3.25,4.333,1.75,3.35,4.3,1.75,3.2,3.5,1.67,3.4,4.33,,3.25,4.33,1.727,3.25,4.333,1.8,3.3,3.75
E2,07/09/02,Crewe,Chesterfield,0,0,D,0,0,D,P Joslin,15.0,9.0,10.0,4.0,7.0,9.0,4.0,3.0,0,0,0,0,1.571,3.4,5.5,1.63,3.45,5.05,1.55,3.4,4.3,1.571,3.5,5.0,,3.6,5.5,1.533,3.5,5.5,1.57,3.5,5.0
E2,02/11/02,Northampton,Luton,3,0,H,2,0,H,P Durkin,12.0,6.0,6.0,3.0,9.0,15.0,2.0,5.0,0,0,0,0,3.0,3.25,2.1,2.8,3.25,2.28,2.8,3.0,2.1,2.75,3.25,2.2,,3.25,2.25,2.75,3.25,2.25,3.0,3.2,2.1
E2,21/04/03,Port Vale,Wycombe,1,1,D,1,0,H,H Webb,6.0,15.0,3.0,12.0,9.0,18.0,6.0,4.0,2,3,1,0,1.909,3.25,3.5,1.85,3.25,3.75,1.8,2.8,3.7,1.727,3.4,4.0,,3.4,3.4,1.909,3.4,3.4,1.8,3.4,3.6
E2,03/05/03,Stockport,Tranmere,2,3,A,2,0,H,G Salisbury,9.0,8.0,6.0,6.0,10.0,14.0,5.0,11.0,3,3,0,0,2.3,3.2,2.7,2.42,3.35,2.52,,,,2.4,3.25,2.5,,3.4,2.38,2.5,3.3,2.4,2.5,3.25,2.4
E2,22/02/03,Northampton,Bristol City,1,2,A,1,2,A,A Butler,4.0,11.0,3.0,4.0,12.0,12.0,3.0,6.0,3,0,0,0,2.625,3.2,2.375,2.7,3.25,2.35,2.4,3.0,2.3,2.5,3.25,2.4,,3.2,2.38,2.7,3.2,2.3,2.5,3.25,2.4
E2,12/04/03,Swindon,Huddersfield,0,1,A,0,0,D,L Mason,11.0,7.0,5.0,6.0,11.0,8.0,9.0,6.0,2,2,0,0,1.909,3.5,3.25,1.9,3.35,3.5,1.9,3.1,3.0,1.727,3.5,3.75,,3.4,3.4,1.909,3.4,3.4,1.83,3.4,3.5
E2,22/03/03,Peterboro,Tranmere,0,0,D,0,0,D,E Wolstenholme,9.0,9.0,4.0,7.0,13.0,14.0,5.0,4.0,0,0,1,0,2.75,3.25,2.25,2.6,3.3,2.35,2.4,3.0,2.3,2.6,3.2,2.38,,3.25,2.25,2.75,3.25,2.25,2.75,3.2,2.25
E2,22/02/03,Cheltenham,Colchester,1,1,D,1,1,D,S Baines,16.0,9.0,10.0,4.0,13.0,6.0,7.0,2.0,0,0,0,0,2.2,3.25,2.8,2.25,3.25,2.85,2.2,3.0,2.6,2.1,3.2,3.0,,3.25,2.8,2.2,3.25,2.8,2.25,3.2,2.75
E2,26/10/02,Chesterfield,Notts County,0,0,D,0,0,D,M Pike,7.0,8.0,2.0,1.0,5.0,5.0,4.0,3.0,1,1,0,1,1.8,3.4,3.75,1.8,3.35,4.0,1.8,3.0,3.5,1.73,3.4,4.0,,3.25,4.0,1.727,3.4,4.2,1.83,3.3,3.6
