Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
E2,18/09/01,Wigan,Huddersfield,1,0,H,0,0,D,5717.0,D. Pugh,9,8,5,2,0,0,3,5,21,17.0,2,1,3,2,0,1,30,45,,,,2.2,3.0,2.6,2.2,3.25,2.87,2.2,3.25,2.8,2.25,3.25,2.75,2.2,3.25,2.8
E2,20/04/02,Notts County,Huddersfield,2,1,H,1,0,H,15618.0,"Webb, H. M.",12,8,6,5,1,0,8,6,12,17.0,2,0,1,1,0,0,10,10,2.05,3.2,3.15,,,,2.0,3.25,3.25,2.0,3.1,3.3,2.0,3.0,3.4,2.0,2.87,3.75
E2,08/09/01,Notts County,Wrexham,2,2,D,2,1,H,4776.0,A. Bates,13,14,5,8,0,0,7,4,12,16.0,2,1,2,2,0,0,20,20,,,,1.6,3.3,4.0,1.67,3.4,4.5,1.67,3.4,4.5,1.67,3.5,4.33,1.66,3.4,4.5
E2,15/09/01,Bristol City,Colchester,3,1,H,1,1,D,9992.0,R. J. Olivier,9,7,4,2,0,1,7,10,10,11.0,4,2,1,2,0,0,10,20,,,,1.7,3.2,3.6,1.67,3.4,4.5,1.73,3.25,4.33,1.67,3.5,4.33,1.66,3.4,4.5
E2,03/11/01,Swindon,Stoke,0,3,A,0,1,A,7981.0,P. E. Alcock,12,7,2,4,1,0,5,3,11,12.0,3,2,1,2,0,0,10,20,2.62,3.2,2.37,2.6,3.0,2.2,2.75,3.2,2.25,2.62,3.2,2.38,2.6,3.2,2.38,2.6,3.2,2.4
E2,18/08/01,Colchester,Tranmere,2,1,H,0,0,D,3618.0,P. J. Prosser,13,14,8,8,0,0,7,2,15,16.0,2,3,3,1,0,1,30,35,,,,2.3,2.9,2.5,2.37,3.4,2.5,,,,2.25,3.4,2.62,2.37,3.2,2.62
E2,22/12/01,Bournemouth,QPR,1,2,A,0,1,A,8147.0,"Walton, P.",16,8,8,5,0,0,6,2,8,11.0,2,7,2,3,0,1,20,55,2.38,3.2,2.6,2.25,3.1,2.4,2.37,3.4,2.5,2.5,3.2,2.5,2.5,3.2,2.5,,,
E2,12/02/02,Brentford,Cardiff,2,1,H,0,1,A,6718.0,"Bennett, S. G.",15,10,7,8,0,0,11,6,19,13.0,3,2,2,1,0,0,20,10,2.1,3.25,3.0,2.2,2.9,2.7,2.25,3.2,2.75,2.1,3.25,3.0,2.25,3.25,2.75,2.1,3.25,3.0
E2,18/09/01,Colchester,Oldham,2,1,H,2,0,H,2991.0,P. E. Alcock,12,10,7,5,0,0,5,4,7,12.0,3,2,0,1,0,1,0,35,,,,2.1,3.0,2.8,2.1,3.25,3.0,2.1,3.25,3.0,2.0,3.5,3.0,2.1,3.25,3.0
E2,20/10/01,Colchester,Cambridge,3,1,H,2,1,H,4684.0,P. Dowd,16,9,8,4,0,0,4,7,12,13.0,0,3,0,1,0,0,0,10,1.73,3.25,4.35,1.7,3.2,3.7,1.73,3.25,4.33,,,,1.83,3.25,3.75,1.72,3.3,4.33
