Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
D2,28/03/02,Aachen,Duisburg,2,1,H,1,0,H,14000,"Fleischer, H",16.0,16.0,6.0,8.0,0.0,2.0,4.0,6.0,17.0,21.0,2.0,2.0,1,2,0,0,10,20,2.12,3.1,3.0,2.1,3.0,3.1,2.1,3.2,3.0,2.25,3.2,2.7,2.2,3.15,2.75
D2,10/03/02,Saarbrucken,Aachen,2,1,H,1,0,H,3000,"Albrecht, H",12.0,13.0,3.0,6.0,2.0,0.0,7.0,6.0,16.0,18.0,3.0,3.0,1,2,0,0,10,20,2.45,3.1,2.52,2.4,3.1,2.4,2.6,3.1,2.4,2.5,3.2,2.4,2.65,3.3,2.2
D2,18/03/02,Mainz,Mannheim,3,0,H,2,0,H,7500,"Keler, J",18.0,10.0,9.0,3.0,2.0,0.0,4.0,6.0,15.0,13.0,1.0,5.0,2,2,0,0,20,20,1.45,3.7,5.8,1.65,3.3,4.4,1.65,3.1,5.0,1.615,3.5,4.5,,,
D2,23/03/02,Bielefeld,Aachen,4,1,H,2,1,H,12184,"Lange, P",19.0,7.0,7.0,2.0,1.0,0.0,3.0,4.0,13.0,18.0,5.0,2.0,2,2,0,1,20,45,1.4,3.85,6.5,1.4,3.7,6.4,1.444,3.5,6.0,1.444,3.6,6.5,1.45,3.55,6.0
D2,07/04/02,Bielefeld,Bochum,3,0,H,1,0,H,26601,"Stark, W",15.0,6.0,9.0,2.0,1.0,0.0,6.0,1.0,12.0,20.0,5.0,1.0,1,4,0,1,10,65,2.05,3.05,3.1,2.1,2.9,3.2,2.1,3.2,3.0,,,,2.1,2.9,3.15
D2,25/11/01,Reutlingen,Karlsruhe,1,0,H,0,0,D,10137,Thomas Frank,19.0,9.0,8.0,2.0,0.0,0.0,4.0,3.0,15.0,18.0,0.0,1.0,1,3,0,1,10,55,2.1,3.1,3.05,2.0,3.0,3.3,,,,,,,2.05,3.2,2.95
D2,15/03/02,Hannover,Reutlingen,4,0,H,1,0,H,19360,Scheppe. D,14.0,4.0,7.0,2.0,0.0,0.0,11.0,3.0,17.0,18.0,3.0,1.0,0,1,0,0,0,10,1.35,4.0,7.25,1.35,4.0,7.0,1.364,4.0,7.0,1.364,4.0,7.0,,,
D2,01/03/02,Mainz,Babelsberg,2,2,D,1,0,H,9305,"Brych, F",18.0,4.0,10.0,2.0,0.0,0.0,14.0,3.0,14.0,17.0,2.0,0.0,0,2,0,0,0,20,1.16,5.5,12.0,1.25,4.5,9.0,1.25,4.6,9.0,1.3,4.333,8.0,1.25,4.3,10.0
D2,09/09/01,Aachen,Babelsberg,2,2,D,0,2,A,8000,Florian Meyer,18.0,8.0,8.0,5.0,0.0,0.0,11.0,2.0,9.0,9.0,4.0,3.0,3,4,1,1,55,65,,,,2.0,2.9,3.0,,,,2.0,3.1,3.3,2.1,3.1,2.95
D2,27/07/01,Saarbrucken,Mannheim,1,3,A,0,2,A,18000,Wolfgang Stark ,6.0,6.0,3.0,4.0,0.0,0.0,6.0,3.0,17.0,15.0,4.0,5.0,4,2,0,0,40,20,2.18,3.1,2.85,,,,,,,,,,2.0,3.15,3.1
D2,24/02/02,Ein Frankfurt,Duisburg,2,0,H,0,0,D,10700,"Lange, P",16.0,11.0,7.0,4.0,0.0,0.0,6.0,4.0,12.0,14.0,5.0,4.0,3,3,0,0,30,30,1.87,3.1,3.7,1.8,3.1,3.8,1.833,3.2,3.75,1.833,3.4,3.5,1.8,3.3,3.6
D2,18/11/01,Babelsberg,Reutlingen,0,3,A,0,1,A,4000,Michael Weiner,17.0,13.0,11.0,7.0,2.0,0.0,6.0,2.0,15.0,16.0,2.0,3.0,4,2,0,0,40,20,2.25,3.1,2.8,2.2,3.0,2.9,,,,2.25,3.2,2.7,2.3,3.2,2.55
D2,25/02/02,Ahlen,Mainz,1,4,A,0,1,A,3915,"Fandel, H",6.0,17.0,5.0,8.0,0.0,1.0,5.0,2.0,21.0,23.0,5.0,4.0,2,1,0,0,20,10,2.45,3.05,2.55,2.2,3.0,2.9,2.3,3.0,2.8,2.3,3.1,2.7,2.25,3.1,2.7
D2,02/02/02,Babelsberg,Greuther Furth,1,5,A,0,2,A,2700,"Stachowiak, A",9.0,11.0,2.0,7.0,0.0,0.0,5.0,5.0,14.0,15.0,2.0,4.0,2,2,1,0,45,20,2.8,3.25,2.15,2.7,3.0,2.3,2.875,3.3,2.1,2.8,3.2,2.2,2.9,3.25,2.05
D2,28/10/01,Unterhaching,Ein Frankfurt,0,1,A,0,0,D,9000,Thorsten Kinhfer,12.0,11.0,7.0,7.0,0.0,0.0,5.0,5.0,9.0,17.0,1.0,4.0,0,2,0,0,0,20,2.25,3.0,2.85,2.1,2.9,3.2,,,,,,,2.05,3.15,3.0
D2,12/10/01,Aachen,Saarbrucken,0,0,D,0,0,D,15200,Jrg Kessler,6.0,2.0,3.0,1.0,0.0,0.0,3.0,4.0,17.0,19.0,2.0,4.0,2,3,0,1,20,55,,,,1.9,3.1,3.5,,,,1.8,3.1,4.0,1.75,3.25,3.85
D2,07/04/02,Duisburg,Unterhaching,4,0,H,1,0,H,6000,"Wezel, V",15.0,8.0,6.0,3.0,0.0,0.0,4.0,6.0,14.0,13.0,5.0,1.0,3,2,0,0,30,20,1.85,3.3,3.35,2.0,3.0,3.3,1.8,3.25,3.75,,,,1.7,3.4,3.9
D2,08/03/02,Mannheim,Bochum,1,2,A,1,2,A,5100,"Kircher, K",11.0,8.0,7.0,5.0,1.0,1.0,8.0,6.0,15.0,17.0,1.0,0.0,1,1,0,0,10,10,2.35,3.1,2.65,2.3,3.0,2.7,2.25,3.2,2.7,2.3,3.1,2.7,2.25,3.2,2.65
D2,18/12/01,Ahlen,Duisburg,2,2,D,1,0,H,5282,Gnter Perl,11.0,11.0,5.0,5.0,0.0,0.0,3.0,1.0,6.0,12.0,4.0,4.0,1,2,0,0,10,20,1.8,3.3,3.7,1.85,3.1,3.6,1.8,3.25,3.8,1.73,3.2,4.33,1.85,3.35,3.35
D2,10/02/02,Reutlingen,Union Berlin,1,2,A,0,1,A,6000,"Schling, C",14.0,5.0,7.0,3.0,1.0,0.0,3.0,4.0,10.0,16.0,4.0,4.0,2,2,0,0,20,20,2.05,3.1,3.2,2.1,3.0,3.1,2.2,3.0,3.0,2.1,3.2,3.0,2.05,3.2,3.0
D2,23/11/01,Greuther Furth,Unterhaching,3,1,H,2,0,H,4694,Peter Lange,9.0,3.0,3.0,1.0,0.0,0.0,5.0,3.0,13.0,15.0,1.0,0.0,1,2,0,0,10,20,1.95,3.1,3.4,2.0,3.0,3.3,,,,,,,2.0,3.05,3.25
D2,05/05/02,Duisburg,Oberhausen,1,4,A,1,2,A,8162,"Rafati, B",8.0,8.0,3.0,5.0,0.0,0.0,11.0,2.0,12.0,12.0,1.0,0.0,1,2,0,0,10,20,2.05,3.05,3.25,2.1,3.0,3.1,,,,,,,2.1,3.1,2.95
D2,02/12/01,Babelsberg,Schweinfurt,3,1,H,1,0,H,3028,Dirk Margenberg,12.0,10.0,6.0,6.0,0.0,0.0,1.0,7.0,15.0,20.0,0.0,1.0,3,2,0,0,30,20,2.0,3.1,3.3,1.9,3.1,3.5,1.95,3.25,3.25,2.1,3.2,3.0,2.1,3.2,2.85
D2,09/12/01,Aachen,Unterhaching,3,1,H,1,0,H,10244,Mike Pickel,15.0,10.0,5.0,5.0,0.0,0.0,6.0,0.0,17.0,16.0,1.0,1.0,1,1,0,0,10,10,2.1,3.1,3.05,2.1,2.9,3.2,2.1,3.2,3.0,2.0,3.2,3.2,1.9,3.2,3.4
D2,24/03/02,Duisburg,Union Berlin,1,1,D,1,1,D,8031,"Pickel, M.",9.0,8.0,5.0,4.0,0.0,0.0,9.0,7.0,17.0,15.0,5.0,1.0,2,1,0,0,20,10,2.35,3.1,2.65,2.3,2.9,2.8,2.3,3.1,2.6,2.2,3.2,2.8,2.35,3.15,2.55
D2,08/02/02,Saarbrucken,Bielefeld,0,2,A,0,0,D,7000,"Weber, S",10.0,11.0,3.0,4.0,0.0,1.0,6.0,4.0,9.0,7.0,1.0,3.0,2,1,0,0,20,10,2.8,3.1,2.25,2.7,3.0,2.3,2.875,3.1,2.2,2.8,3.2,2.2,2.85,3.1,2.15
D2,03/03/02,Unterhaching,Mannheim,0,0,D,0,0,D,3500,"Rafati, B",12.0,4.0,2.0,0.0,0.0,0.0,6.0,1.0,6.0,17.0,3.0,0.0,1,0,0,0,10,0,2.05,3.05,3.2,2.0,3.0,3.3,2.2,3.0,3.0,2.1,3.2,3.0,2.05,3.15,3.0
D2,09/12/01,Ein Frankfurt,Ahlen,1,2,A,0,1,A,11800,Matthias Anklam,8.0,7.0,3.0,4.0,0.0,1.0,3.0,6.0,12.0,16.0,4.0,1.0,1,3,0,0,10,30,1.58,3.4,5.0,1.7,3.2,4.2,1.67,3.3,4.5,1.57,3.5,5.0,1.65,3.4,4.25
D2,18/08/01,Saarbrucken,Ein Frankfurt,0,2,A,0,1,A,10500,Stefan Weber,11.0,6.0,2.0,3.0,0.0,0.0,2.0,1.0,7.0,8.0,0.0,0.0,2,2,0,0,20,20,,,,2.4,2.9,2.4,,,,,,,2.7,3.1,2.25
D2,21/09/01,Karlsruhe,Bielefeld,0,1,A,0,0,D,9200,Peter Sippel,1.0,4.0,1.0,4.0,0.0,0.0,5.0,9.0,17.0,15.0,2.0,2.0,3,4,0,0,30,40,,,,2.2,2.9,2.7,,,,,,,2.35,3.1,2.55
D2,19/04/02,Union Berlin,Unterhaching,0,2,A,0,0,D,5886,"Wagner, L",8.0,9.0,5.0,6.0,0.0,0.0,9.0,4.0,15.0,17.0,1.0,1.0,0,0,0,0,0,0,1.6,3.65,4.2,1.6,3.4,4.6,1.667,3.6,4.0,,,,1.5,4.0,4.5
D2,03/11/01,Bielefeld,Unterhaching,2,0,H,1,0,H,11242,Volker Wezel,16.0,14.0,10.0,8.0,0.0,0.0,4.0,5.0,14.0,16.0,3.0,0.0,2,2,0,0,20,20,1.9,3.15,3.5,1.85,3.1,3.6,,,,1.91,3.2,3.5,1.85,3.3,3.4
D2,10/02/02,Babelsberg,Aachen,0,2,A,0,1,A,3080,"Rafati, B",17.0,12.0,7.0,4.0,0.0,0.0,6.0,5.0,18.0,21.0,3.0,1.0,3,1,0,0,30,10,2.3,3.1,2.7,2.3,3.0,2.7,2.375,3.1,2.625,2.3,3.2,2.625,2.05,3.2,3.0
D2,27/01/02,Saarbrucken,Schweinfurt,2,1,H,2,1,H,6500,"Jansen, J",10.0,11.0,4.0,8.0,0.0,0.0,4.0,8.0,17.0,15.0,3.0,1.0,0,3,0,0,0,30,1.9,3.2,3.5,1.8,3.1,3.8,1.85,3.3,3.5,2.1,3.2,3.0,1.85,3.3,3.4
D2,20/10/01,Babelsberg,Oberhausen,0,2,A,0,2,A,3500,Peter Lange,9.0,8.0,5.0,4.0,0.0,0.0,4.0,5.0,11.0,17.0,2.0,3.0,4,3,0,0,40,30,1.71,3.3,4.2,1.9,3.1,3.5,,,,,,,1.8,3.3,3.6
D2,18/11/01,Ahlen,Mannheim,0,0,D,0,0,D,5800,Frank Minskowski,15.0,4.0,3.0,3.0,2.0,1.0,8.0,3.0,17.0,21.0,2.0,2.0,3,1,0,0,30,10,1.7,3.25,4.3,1.9,3.1,3.5,,,,1.62,3.5,4.5,1.65,3.4,4.2
D2,23/09/01,Aachen,Mannheim,1,0,H,1,0,H,10000,Hellmut Krug,13.0,4.0,5.0,2.0,0.0,0.0,8.0,1.0,23.0,25.0,3.0,1.0,3,4,0,3,30,115,,,,2.2,2.9,2.7,,,,,,,2.25,3.1,2.7
D2,19/12/01,Schweinfurt,Karlsruhe,1,1,D,1,1,D,5050,Ralf Spker,7.0,13.0,3.0,8.0,0.0,1.0,1.0,8.0,19.0,15.0,1.0,1.0,0,1,0,0,0,10,2.05,3.1,3.15,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.1,3.0,2.1,3.2,2.85
D2,18/02/02,Bielefeld,Ein Frankfurt,4,1,H,1,0,H,10000,"Steinborn, E.",8.0,6.0,5.0,4.0,0.0,0.0,5.0,2.0,9.0,11.0,3.0,2.0,2,2,0,0,20,20,1.95,3.1,3.4,2.0,3.0,3.3,1.95,3.1,3.5,1.909,3.2,3.5,1.9,3.2,3.35
D2,19/10/01,Schweinfurt,Bochum,3,3,D,2,0,H,8125,Kai Voss,13.0,15.0,4.0,8.0,0.0,0.0,3.0,8.0,20.0,22.0,0.0,0.0,2,2,0,0,20,20,2.5,3.05,2.5,2.5,3.0,2.5,,,,,,,2.55,3.15,2.35
D2,10/12/01,Saarbrucken,Babelsberg,1,1,D,1,0,H,2000,Peter Gagelmann,10.0,8.0,5.0,2.0,0.0,0.0,5.0,3.0,17.0,14.0,2.0,1.0,0,3,0,0,0,30,1.85,3.2,3.65,1.7,3.2,4.2,1.85,3.25,3.6,1.8,3.4,3.6,1.85,3.35,3.35
D2,08/12/01,Karlsruhe,Mannheim,1,2,A,0,1,A,12200,Jrg Kessler,4.0,6.0,1.0,2.0,0.0,0.0,2.0,3.0,15.0,18.0,2.0,3.0,2,2,0,1,20,45,1.85,3.2,3.65,2.1,3.0,3.1,1.83,3.2,3.75,1.83,3.2,3.75,2.0,3.2,3.1
D2,14/04/02,Aachen,Union Berlin,1,2,A,1,1,D,8500,"Berg, A",16.0,10.0,8.0,5.0,0.0,0.0,6.0,4.0,13.0,18.0,1.0,1.0,3,1,0,0,30,10,2.1,3.15,2.9,2.2,3.0,2.9,2.0,3.2,3.1,2.1,3.2,3.0,2.1,3.25,2.85
D2,05/05/02,Greuther Furth,Hannover,1,5,A,1,2,A,10000,"Koop, T",7.0,10.0,3.0,7.0,0.0,0.0,5.0,2.0,6.0,9.0,0.0,0.0,0,1,0,0,0,10,1.9,3.15,3.6,1.9,3.1,3.5,1.85,3.4,3.25,,,,1.7,3.4,3.9
D2,21/10/01,Duisburg,Greuther Furth,1,1,D,0,1,A,5211,Manuel Grfe,16.0,5.0,9.0,1.0,1.0,1.0,10.0,3.0,18.0,14.0,2.0,1.0,3,2,0,0,30,20,2.5,3.0,2.55,2.4,2.9,2.7,,,,,,,2.6,3.15,2.3
