Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA
D2,22/10/00,Duisburg,Reutlingen,4,3,H,2,1,H,7365.0,Babak Rafati ,,,,,,,,,,,,,5.0,1.0,0.0,0.0,50.0,10.0,1.8,3.15,3.65,1.8,3.0,3.5,1.8,3.15,3.75
D2,27/04/01,M'gladbach,Bielefeld,0,1,A,0,0,D,32500.0,Gnter Perl ,18.0,15.0,8.0,8.0,1.0,2.0,7.0,4.0,6.0,18.0,4.0,2.0,1.0,2.0,1.0,0.0,35.0,20.0,1.45,3.7,6.1,1.6,3.2,4.2,1.5,3.5,5.4
D2,22/04/01,Nurnberg,Ulm,1,2,A,0,2,A,18900.0,Peter Gagelmann ,16.0,6.0,5.0,2.0,2.0,0.0,5.0,0.0,15.0,16.0,5.0,11.0,0.0,2.0,0.0,0.0,0.0,20.0,1.35,4.1,6.9,1.35,3.8,6.2,1.3,4.25,7.5
D2,27/10/00,Nurnberg,Chemnitz,3,1,H,2,0,H,15500.0,Knut Kircher ,,,,,,,,,,,,,1.0,1.0,0.0,0.0,10.0,10.0,1.3,4.5,7.1,1.3,4.0,7.0,1.25,4.5,8.5
D2,19/08/00,Aachen,Reutlingen,4,1,H,1,0,H,15000.0,Herrmann Albrecht ,,,,,,,,,,,,,1.0,1.0,0.0,1.0,10.0,35.0,1.7,3.2,4.1,1.9,2.9,3.2,1.75,3.15,4.0
D2,20/05/01,Ahlen,Aachen,1,2,A,0,0,D,8120.0,Jrg Kessler ,11.0,9.0,6.0,7.0,1.0,0.0,6.0,4.0,17.0,10.0,2.0,9.0,5.0,1.0,0.0,1.0,50.0,35.0,1.55,3.55,5.0,1.55,3.3,4.5,1.55,3.5,4.8
D2,11/11/00,Mainz,Hannover,0,2,A,0,0,D,4513.0,Matthias Anklam ,,,,,,,,,,,,,3.0,0.0,1.0,1.0,55.0,25.0,2.4,3.0,2.7,2.3,2.9,2.5,2.3,2.9,2.8
D2,29/10/00,Oberhausen,Hannover,0,0,D,0,0,D,7154.0,Volker Wezel ,,,,,,,,,,,,,2.0,1.0,0.0,0.0,20.0,10.0,2.2,2.95,3.05,2.0,2.9,3.0,2.15,2.9,3.0
D2,22/04/01,Bielefeld,Hannover,5,2,H,2,0,H,12266.0,Christian Schssling ,16.0,14.0,11.0,4.0,0.0,0.0,6.0,5.0,16.0,18.0,0.0,4.0,1.0,3.0,0.0,0.0,10.0,30.0,1.95,3.1,3.4,1.75,3.1,3.6,1.85,3.25,3.45
D2,20/10/00,Chemnitz,St Pauli,1,3,A,1,0,H,5800.0,Ralf Spker ,,,,,,,,,,,,,1.0,2.0,0.0,0.0,10.0,20.0,2.4,3.15,2.45,2.2,2.9,2.7,2.3,2.95,2.75
