Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA
E3,14/01/03,Bristol Rvs,Torquay,1,1,D,1,1,D,P Durkin,4.0,16.0,3.0,5.0,17.0,13.0,3.0,8.0,0.0,1.0,0.0,0.0,2.5,3.2,2.5,2.6,3.3,2.35,2.4,3.0,2.3,2.75,3.25,2.2,2.62,3.2,2.38,2.7,3.2,2.3,2.6,3.1,2.4
E3,08/03/03,Scunthorpe,Macclesfield,1,1,D,0,0,D,M Cowburn,8.0,10.0,5.0,5.0,16.0,8.0,3.0,5.0,1.0,1.0,0.0,0.0,1.571,3.6,5.0,1.6,3.4,5.15,1.6,3.2,4.2,1.57,3.5,5.0,1.62,3.4,5.0,1.6,3.4,5.0,1.61,3.5,4.5
E3,06/09/02,Carlisle,Rochdale,0,2,A,0,2,A,R Pearson,15.0,15.0,6.0,7.0,12.0,13.0,11.0,5.0,2.0,0.0,0.0,0.0,2.375,3.2,2.625,2.53,3.4,2.48,2.3,3.0,2.4,2.25,3.2,2.75,2.4,3.2,2.6,2.6,3.2,2.4,2.5,3.1,2.5
E3,10/08/02,Oxford,Bury,2,1,H,2,0,H,M Messias,4.0,12.0,4.0,8.0,13.0,14.0,4.0,8.0,3.0,3.0,0.0,0.0,1.909,3.25,3.5,1.94,3.45,3.3,1.9,3.1,3.0,2.1,3.2,3.0,,,,1.909,3.25,3.5,1.9,3.4,3.25
E3,01/03/03,Rushden & D,York,2,1,H,1,0,H,D Crick,15.0,12.0,10.0,8.0,12.0,19.0,1.0,5.0,2.0,3.0,0.0,0.0,1.8,3.25,4.0,1.8,3.35,4.0,1.75,3.2,3.5,1.73,3.4,4.0,1.73,3.25,4.33,1.727,3.25,4.333,1.72,3.4,4.0
E3,11/02/03,Bournemouth,Swansea,3,0,H,1,0,H,M Fletcher,13.0,3.0,7.0,2.0,12.0,17.0,9.0,2.0,2.0,4.0,0.0,0.0,1.571,3.6,5.0,1.67,3.5,4.6,1.6,3.3,4.0,1.73,3.5,3.75,1.67,3.4,4.5,1.667,3.4,4.5,1.66,3.4,4.33
E3,21/09/02,Cambridge,York,3,0,H,1,0,H,M Thorpe,13.0,15.0,7.0,5.0,13.0,14.0,5.0,2.0,2.0,1.0,0.0,0.0,2.2,3.25,2.8,2.2,3.35,2.9,2.2,3.0,2.6,2.0,3.2,3.2,2.2,3.25,2.8,2.2,3.25,2.8,2.25,3.2,2.75
E3,21/12/02,Rushden & D,Carlisle,1,1,D,1,1,D,G Cain,14.0,7.0,8.0,3.0,5.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,1.444,3.75,6.5,1.45,3.7,6.5,1.4,3.5,5.6,1.36,4.0,7.0,1.4,3.75,7.5,1.4,3.75,7.5,1.44,3.6,6.5
E3,19/10/02,Torquay,Hull,1,4,A,0,1,A,J Ross,13.0,13.0,8.0,10.0,6.0,12.0,6.0,4.0,2.0,3.0,0.0,0.0,2.1,3.25,3.0,2.22,3.3,2.85,2.1,3.0,2.8,2.4,3.25,2.5,2.4,3.2,2.6,2.2,3.25,2.875,2.1,3.3,2.87
E3,19/10/02,Macclesfield,Carlisle,2,2,D,1,1,D,G Hegley,9.0,15.0,5.0,10.0,10.0,18.0,6.0,5.0,6.0,2.0,0.0,0.0,1.727,3.25,4.333,1.75,3.3,4.1,1.7,3.2,3.7,1.67,3.6,4.0,1.73,3.25,4.33,1.727,3.4,4.2,1.8,3.3,3.75
