Country,League,Season,Match_Date,Home_Team,Away_Team,Full_Time_Home_Team_Goals,Full_Time_Away_Team_Goals,Full_Time_Result,DayOfWeek,Avg_Home_Goals_Last5,Avg_Away_Goals_Last5,DaysSinceLastMatchHome,DaysSinceLastMatchAway,Average_home_win_odds,Average_away_win_odds,Average_over_2.5_goals_odds,Average_under_2.5_goals_odds,Average_Asian_Handicap_Home_odds,Average_Asian_Handicap_Away_odds,has_favorite,diff_home_win_odds,diff_away_win_odds,Time_kick_off_bin
belgium,1,1920,15640992.0,Genk,Kortrijk,2.0,1.0,H,4.0,1.6,1.6,138,138,1.38,7.81,1.52,2.51,2.05,1.79,Home,-0.07000000000000006,1.0199999999999996,Late Evening
belgium,1,1920,15641856.0,Waasland-Beveren,Club Brugge,1.0,3.0,A,5.0,1.4,2.6,139,139,5.76,1.52,1.56,2.41,1.97,1.89,Away,-3.2300000000000004,0.22999999999999998,Late Evening
belgium,1,1920,15641856.0,Cercle Brugge,Standard,0.0,2.0,A,5.0,1.2,1.2,139,139,3.77,1.92,1.77,2.05,1.91,1.95,None,-0.020000000000000018,-0.07000000000000006,Evening
belgium,1,1920,15641856.0,Waregem,Mechelen,0.0,2.0,A,5.0,1.6,1.6,132,511,2.19,3.07,1.65,2.21,1.93,1.92,None,-0.6099999999999999,0.56,Late Evening
belgium,1,1920,15641856.0,St Truiden,Mouscron,0.0,1.0,A,5.0,1.8,1.4,132,132,1.93,3.85,1.83,1.99,1.97,1.89,None,-0.2300000000000002,0.3900000000000001,Late Evening
belgium,1,1920,15642720.0,Charleroi,Gent,1.0,1.0,D,6.0,1.2,1.6,133,133,2.98,2.31,1.83,1.99,1.83,2.03,None,0.06000000000000005,-0.06999999999999984,Evening
belgium,1,1920,15642720.0,Eupen,Antwerp,1.0,4.0,A,6.0,1.4,1.4,140,133,3.66,1.99,1.81,2.01,2.13,1.73,None,0.18000000000000016,-0.2100000000000002,Late Evening
belgium,1,1920,15642720.0,Anderlecht,Oostende,1.0,2.0,A,6.0,1.4,1.4,140,140,1.36,8.48,1.61,2.31,1.87,1.99,Home,-0.04999999999999982,0.5200000000000005,Afternoon
belgium,1,1920,15647040.0,Club Brugge,St Truiden,6.0,0.0,H,4.0,2.4,0.8,138,153,1.24,11.39,1.45,2.71,1.91,1.95,Home,0.030000000000000027,-2.66,Late Evening
belgium,1,1920,15647904.0,Standard,Waregem,4.0,0.0,H,5.0,2.8,1.4,139,146,1.48,5.91,1.52,2.49,1.83,2.03,Home,0.08000000000000007,-0.8899999999999997,Evening
