Country,League,Season,Match_Date,Home_Team,Away_Team,Full_Time_Home_Team_Goals,Full_Time_Away_Team_Goals,Full_Time_Result,DayOfWeek,Avg_Home_Goals_Last5,Avg_Away_Goals_Last5,DaysSinceLastMatchHome,DaysSinceLastMatchAway,Average_home_win_odds,Average_away_win_odds,Average_over_2.5_goals_odds,Average_under_2.5_goals_odds,Average_Asian_Handicap_Home_odds,Average_Asian_Handicap_Away_odds,has_favorite,diff_home_win_odds,diff_away_win_odds,Time_kick_off_bin
england,0,1718,15024096.0,Arsenal,Leicester,4.0,3.0,H,4.0,4.0,3.0,-1,-1,1.5,6.5,1.61,2.32,1.85,2.02,Home,0.010000000000000009,-0.75,Afternoon
england,0,1718,15024960.0,Brighton,Man City,0.0,2.0,A,5.0,0.0,2.0,-1,-1,10.13,1.33,1.63,2.27,1.91,1.96,Away,-1.6199999999999992,0.040000000000000036,Afternoon
england,0,1718,15024960.0,Crystal Palace,Huddersfield,0.0,3.0,A,5.0,0.0,3.0,-1,-1,1.82,4.82,2.11,1.72,2.05,1.83,None,0.030000000000000027,-0.6899999999999995,Afternoon
england,0,1718,15024960.0,Chelsea,Burnley,2.0,3.0,A,5.0,2.0,3.0,-1,-1,1.24,14.12,1.66,2.23,1.97,1.9,Home,-0.09000000000000008,1.8699999999999992,Afternoon
england,0,1718,15024960.0,Everton,Stoke,1.0,0.0,H,5.0,1.0,0.0,-1,-1,1.69,5.51,2.08,1.76,1.9,1.98,Home,-0.13000000000000012,0.08999999999999986,Afternoon
england,0,1718,15024960.0,Watford,Liverpool,3.0,3.0,D,5.0,3.0,3.0,-1,-1,5.79,1.6,1.82,1.99,1.84,2.04,Away,-1.0899999999999999,0.040000000000000036,Afternoon
england,0,1718,15024960.0,West Brom,Bournemouth,1.0,0.0,H,5.0,1.0,0.0,-1,-1,2.42,3.13,2.16,1.7,2.08,1.81,None,-0.22999999999999998,0.10999999999999988,Afternoon
england,0,1718,15024960.0,Southampton,Swansea,0.0,0.0,D,5.0,0.0,0.0,-1,-1,1.62,5.95,2.08,1.75,1.78,2.1,Home,0.06000000000000005,-0.8999999999999995,Afternoon
england,0,1718,15025824.0,Man United,West Ham,4.0,0.0,H,6.0,4.0,0.0,-1,-1,1.31,10.72,1.7,2.16,1.96,1.92,Home,0.0,-1.2899999999999991,Afternoon
england,0,1718,15025824.0,Newcastle,Tottenham,0.0,2.0,A,6.0,0.0,2.0,-1,-1,5.2,1.7,1.81,2.01,2.0,1.87,Away,0.3799999999999999,-0.10000000000000009,Afternoon
england,0,1718,15031008.0,Southampton,West Ham,3.0,2.0,H,5.0,1.5,1.0,7,6,1.72,4.99,1.84,1.98,1.91,1.96,Home,0.020000000000000018,-0.45999999999999996,Afternoon
england,0,1718,15031008.0,Swansea,Man United,0.0,4.0,A,5.0,0.0,4.0,-1,-1,10.4,1.35,1.9,1.93,2.11,1.78,Away,-1.1500000000000004,0.010000000000000009,Afternoon
england,0,1718,15031008.0,Stoke,Arsenal,1.0,0.0,H,5.0,1.0,0.0,-1,-1,4.49,1.82,1.8,2.03,2.06,1.83,None,0.1200000000000001,-0.040000000000000036,Afternoon
england,0,1718,15031008.0,Bournemouth,Watford,0.0,2.0,A,5.0,0.0,2.0,-1,-1,1.96,4.0,1.82,2.01,1.96,1.93,None,-0.14000000000000012,0.16000000000000014,Afternoon
england,0,1718,15031008.0,Leicester,Brighton,2.0,0.0,H,5.0,2.0,0.0,-1,-1,1.74,5.21,1.96,1.86,1.94,1.93,Home,-0.020000000000000018,-0.2400000000000002,Afternoon
england,0,1718,15031008.0,Burnley,West Brom,0.0,1.0,A,5.0,0.0,1.0,-1,-1,2.54,3.05,2.46,1.54,2.19,1.74,None,-0.20999999999999996,-0.040000000000000036,Afternoon
england,0,1718,15031008.0,Liverpool,Crystal Palace,1.0,0.0,H,5.0,1.0,0.0,-1,-1,1.36,8.83,1.57,2.4,2.07,1.82,Home,-0.029999999999999805,-0.16999999999999993,Afternoon
england,0,1718,15031872.0,Tottenham,Chelsea,1.0,2.0,A,6.0,1.0,2.0,-1,-1,2.07,3.65,1.9,1.92,2.07,1.83,None,-0.0900000000000003,-0.18999999999999995,Afternoon
england,0,1718,15031872.0,Huddersfield,Newcastle,1.0,0.0,H,6.0,1.0,0.0,-1,-1,2.43,3.13,2.22,1.67,2.08,1.81,None,-0.3999999999999999,0.31999999999999984,Afternoon
england,0,1718,15032736.0,Man City,Everton,1.0,1.0,D,0.0,1.0,1.0,-1,-1,1.32,9.76,1.61,2.33,1.87,2.0,Home,0.020000000000000018,-1.3399999999999999,Afternoon
england,0,1718,15037056.0,Watford,Brighton,0.0,0.0,D,5.0,1.5,0.0,14,7,1.94,4.26,2.21,1.67,1.97,1.93,None,-0.29000000000000004,0.44999999999999973,Afternoon
england,0,1718,15037056.0,Huddersfield,Southampton,0.0,0.0,D,5.0,0.5,0.0,6,-1,3.79,2.12,2.19,1.68,2.12,1.78,None,-0.41999999999999993,0.10000000000000009,Afternoon
england,0,1718,15037056.0,Newcastle,West Ham,3.0,0.0,H,5.0,1.5,0.67,13,7,2.29,3.28,1.94,1.88,1.97,1.92,None,-0.06999999999999984,0.020000000000000018,Afternoon
england,0,1718,15037056.0,Crystal Palace,Swansea,0.0,2.0,A,5.0,0.0,1.0,14,14,1.94,4.26,2.15,1.71,1.69,2.28,None,-0.18000000000000016,0.16999999999999993,Afternoon
england,0,1718,15037056.0,Man United,Leicester,2.0,0.0,H,5.0,3.0,1.5,13,15,1.32,10.25,1.65,2.25,1.99,1.9,Home,-0.010000000000000009,-1.0,Afternoon
england,0,1718,15037920.0,West Brom,Stoke,1.0,1.0,D,6.0,1.0,0.5,15,15,2.38,3.34,2.59,1.5,2.01,1.88,None,-0.28000000000000025,0.2799999999999998,Afternoon
england,0,1718,15037920.0,Chelsea,Everton,2.0,0.0,H,6.0,2.0,0.5,15,6,1.45,7.92,1.92,1.9,2.07,1.82,Home,-0.08000000000000007,0.5199999999999996,Afternoon
england,0,1718,15037920.0,Liverpool,Arsenal,4.0,0.0,H,6.0,2.5,0.0,8,8,2.15,3.39,1.58,2.38,1.86,2.03,None,-0.06000000000000005,0.14000000000000012,Afternoon
england,0,1718,15037920.0,Tottenham,Burnley,1.0,1.0,D,6.0,1.0,2.0,7,15,1.25,13.48,1.66,2.23,1.94,1.95,Home,0.030000000000000027,-2.5199999999999996,Afternoon
england,0,1718,15049152.0,Southampton,Watford,0.0,2.0,A,5.0,1.0,2.0,21,21,1.65,5.66,1.97,1.85,1.84,2.05,Home,-0.040000000000000036,0.08000000000000007,Afternoon
