Country,League,Season,Match_Date,Home_Team,Away_Team,Full_Time_Home_Team_Goals,Full_Time_Away_Team_Goals,Full_Time_Result,Home_Team_Shots,Away_Team_Shots,Home_Team_Shots_on_Target,Away_Team_Shots_on_Target,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Away_Team_Red_Cards,DayOfWeek,is_Weekend,Home_Team_Fouls_Committed,Away_Team_Fouls_Committed,over_2.5,Average_home_win_odds,Average_away_win_odds,Average_draw_odds,Average_over_2.5_goals_odds,Average_under_2.5_goals_odds,Average_Asian_Handicap_Home_odds,Average_Asian_Handicap_Away_odds,Close_home_win_odds,Close_draw_odds,Close_away_win_odds,has_favorite,Time_kick_off_bin
belgium,1,1920,2019-07-26,Genk,Kortrijk,2.0,1.0,H,10.0,8.0,2.0,4.0,6.0,2.0,0.0,1.0,0.0,0.0,4.0,0,7.0,22.0,1,1.375,7.8066666666666675,4.928333333333334,1.5199999999999998,2.5066666666666664,1.165,1.7866666666666668,1.45,4.94,6.79,1,Late Evening
belgium,1,1920,2019-07-27,Waasland-Beveren,Club Brugge,1.0,3.0,A,7.0,25.0,2.0,22.0,1.0,14.0,3.0,1.0,0.0,0.0,5.0,1,18.0,12.0,1,5.761666666666667,1.5183333333333333,4.37,1.5566666666666666,2.4099999999999997,1.7249999999999999,1.8933333333333333,8.99,6.52,1.29,1,Late Evening
belgium,1,1920,2019-07-27,Cercle Brugge,Standard,0.0,2.0,A,13.0,14.0,5.0,9.0,3.0,7.0,2.0,2.0,1.0,0.0,5.0,1,16.0,15.0,0,3.768333333333333,1.9166666666666667,3.671666666666667,1.7666666666666666,2.0533333333333332,1.5575,1.9466666666666665,3.79,3.74,1.99,0,Evening
belgium,1,1920,2019-07-27,Waregem,Mechelen,0.0,2.0,A,7.0,10.0,2.0,5.0,4.0,2.0,3.0,1.0,0.0,0.0,5.0,1,14.0,21.0,0,2.188333333333333,3.0700000000000003,3.6183333333333336,1.653333333333333,2.2099999999999995,1.3875,1.9233333333333331,2.8,3.59,2.51,0,Late Evening
belgium,1,1920,2019-07-27,St Truiden,Mouscron,0.0,1.0,A,10.0,10.0,4.0,6.0,5.0,5.0,2.0,4.0,0.0,0.0,5.0,1,10.0,21.0,0,1.9349999999999998,3.848333333333333,3.5700000000000003,1.8333333333333333,1.9866666666666666,1.3525,1.8866666666666667,2.16,3.55,3.46,0,Late Evening
belgium,1,1920,2019-07-28,Charleroi,Gent,1.0,1.0,D,7.0,5.0,4.0,4.0,5.0,6.0,0.0,2.0,0.0,0.0,6.0,1,20.0,21.0,0,2.9800000000000004,2.31,3.4249999999999994,1.83,1.9866666666666666,1.435,2.026666666666667,2.92,3.66,2.38,0,Evening
belgium,1,1920,2019-07-28,Eupen,Antwerp,1.0,4.0,A,12.0,14.0,3.0,8.0,3.0,10.0,1.0,2.0,0.0,0.0,6.0,1,18.0,10.0,1,3.6566666666666663,1.99,3.5233333333333334,1.8066666666666666,2.0100000000000002,1.66,1.7266666666666666,3.48,3.41,2.2,0,Late Evening
belgium,1,1920,2019-07-28,Anderlecht,Oostende,1.0,2.0,A,15.0,8.0,6.0,6.0,5.0,2.0,1.0,3.0,0.0,0.0,6.0,1,12.0,17.0,1,1.36,8.485,4.848333333333334,1.61,2.31,1.0899999999999999,1.9866666666666666,1.41,4.88,7.96,1,Afternoon
belgium,1,1920,2019-08-02,Club Brugge,St Truiden,6.0,0.0,H,16.0,4.0,10.0,2.0,6.0,2.0,1.0,3.0,1.0,0.0,4.0,0,19.0,12.0,1,1.2416666666666665,11.391666666666666,5.923333333333335,1.4533333333333334,2.7133333333333334,0.995,1.9533333333333331,1.21,7.03,14.05,1,Late Evening
belgium,1,1920,2019-08-03,Standard,Waregem,4.0,0.0,H,16.0,3.0,7.0,1.0,4.0,2.0,0.0,2.0,0.0,1.0,5.0,1,19.0,18.0,1,1.485,5.911666666666666,4.578333333333333,1.5166666666666666,2.4899999999999998,1.12,2.033333333333333,1.4,5.63,6.8,1,Evening
belgium,1,1920,2019-08-03,Oostende,Cercle Brugge,3.0,1.0,H,11.0,9.0,7.0,4.0,3.0,2.0,0.0,2.0,0.0,1.0,5.0,1,9.0,18.0,1,2.2083333333333335,3.0750000000000006,3.5749999999999997,1.6899999999999997,2.1566666666666667,1.415,1.89,2.25,3.78,3.07,0,Late Evening
belgium,1,1920,2019-08-03,Mechelen,Genk,3.0,1.0,H,11.0,9.0,5.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,5.0,1,14.0,13.0,1,4.176666666666667,1.8283333333333334,3.686666666666666,1.7699999999999998,2.056666666666666,1.6349999999999998,1.84,3.9,3.61,2.0,0,Late Evening
belgium,1,1920,2019-08-03,Kortrijk,Charleroi,1.0,1.0,D,7.0,11.0,4.0,6.0,10.0,3.0,1.0,2.0,0.0,0.0,5.0,1,21.0,18.0,0,2.313333333333333,2.981666666666667,3.4599999999999995,1.8066666666666666,2.013333333333333,1.45,1.84,2.39,3.45,3.06,0,Late Evening
belgium,1,1920,2019-08-04,Antwerp,Waasland-Beveren,4.0,1.0,H,15.0,10.0,11.0,6.0,6.0,4.0,0.0,2.0,0.0,0.0,6.0,1,20.0,11.0,1,1.3433333333333335,8.516666666666667,5.108333333333333,1.6233333333333333,2.28,1.13,1.8366666666666667,1.29,6.04,9.77,1,Late Evening
belgium,1,1920,2019-08-04,Gent,Eupen,6.0,1.0,H,18.0,8.0,11.0,5.0,6.0,2.0,0.0,2.0,0.0,0.0,6.0,1,13.0,13.0,1,1.3883333333333334,7.4316666666666675,4.891666666666667,1.5533333333333335,2.4233333333333333,1.1625,1.7833333333333332,1.3,5.84,9.96,1,Afternoon
belgium,1,1920,2019-08-09,Anderlecht,Mechelen,0.0,0.0,D,12.0,1.0,4.0,0.0,8.0,1.0,0.0,2.0,0.0,1.0,4.0,0,12.0,11.0,0,1.7783333333333333,4.1016666666666675,3.905,1.5866666666666667,2.346666666666667,1.3175,1.8533333333333333,1.99,3.84,3.71,0,Late Evening
belgium,1,1920,2019-08-10,Genk,Waregem,0.0,2.0,A,10.0,8.0,3.0,7.0,3.0,2.0,1.0,2.0,0.0,0.0,5.0,1,16.0,20.0,0,1.23,11.388333333333334,6.215000000000001,1.3433333333333335,3.203333333333333,1.035,1.7933333333333332,1.19,7.33,15.0,1,Late Evening
belgium,1,1920,2019-08-10,Oostende,Club Brugge,0.0,2.0,A,8.0,10.0,4.0,8.0,3.0,6.0,0.0,0.0,0.0,0.0,5.0,1,11.0,17.0,0,6.27,1.45,4.651666666666666,1.5,2.5533333333333332,1.7125,1.9866666666666666,7.08,5.81,1.37,1,Evening
belgium,1,1920,2019-08-10,Eupen,Waasland-Beveren,1.0,1.0,D,4.0,7.0,1.0,4.0,4.0,7.0,2.0,1.0,0.0,0.0,5.0,1,17.0,20.0,0,1.8550000000000002,3.943333333333333,3.7116666666666673,1.6000000000000003,2.3233333333333337,1.285,1.9733333333333334,1.92,3.97,3.85,0,Late Evening
belgium,1,1920,2019-08-10,Cercle Brugge,Kortrijk,1.0,3.0,A,13.0,11.0,6.0,9.0,2.0,3.0,1.0,1.0,0.0,0.0,5.0,1,17.0,18.0,1,2.515,2.5816666666666666,3.573333333333333,1.6233333333333333,2.27,1.4325,1.95,2.82,3.72,2.43,0,Late Evening
belgium,1,1920,2019-08-11,Charleroi,Antwerp,2.0,1.0,H,10.0,6.0,4.0,2.0,5.0,4.0,0.0,1.0,0.0,0.0,6.0,1,8.0,20.0,1,2.5566666666666666,2.686666666666667,3.345,1.9633333333333336,1.8566666666666667,1.4175,1.9733333333333334,2.4,3.47,3.03,0,Evening
belgium,1,1920,2019-08-11,Mouscron,Gent,2.0,1.0,H,6.0,11.0,2.0,4.0,2.0,7.0,0.0,1.0,0.0,0.0,6.0,1,15.0,15.0,1,3.4633333333333334,1.9966666666666668,3.685,1.6466666666666665,2.233333333333334,1.4975,2.035,3.85,4.0,1.91,0,Late Evening
belgium,1,1920,2019-08-11,St Truiden,Standard,2.0,1.0,H,6.0,25.0,5.0,9.0,0.0,5.0,4.0,4.0,0.0,1.0,6.0,1,16.0,16.0,1,4.341666666666667,1.7316666666666667,3.9116666666666666,1.6433333333333333,2.24,1.6124999999999998,1.9533333333333331,3.73,3.96,1.95,0,Afternoon
belgium,1,1920,2019-08-16,Club Brugge,Eupen,0.0,0.0,D,11.0,7.0,1.0,3.0,7.0,3.0,3.0,4.0,0.0,0.0,4.0,0,12.0,19.0,0,1.1833333333333333,12.135,7.371666666666667,1.3133333333333335,3.4133333333333336,0.9224999999999999,1.9633333333333332,1.19,8.39,12.49,1,Late Evening
belgium,1,1920,2019-08-17,Mechelen,Cercle Brugge,3.0,1.0,H,7.0,3.0,4.0,2.0,5.0,3.0,0.0,4.0,0.0,0.0,5.0,1,8.0,22.0,1,1.4066666666666663,7.671666666666667,4.661666666666666,1.6466666666666665,2.236666666666667,1.1424999999999998,1.9133333333333333,1.44,4.7,7.56,1,Late Evening
belgium,1,1920,2019-08-17,Waasland-Beveren,Genk,0.0,4.0,A,7.0,16.0,2.0,5.0,3.0,3.0,2.0,0.0,0.0,0.0,5.0,1,14.0,4.0,1,6.510000000000001,1.4066666666666665,5.021666666666667,1.5033333333333332,2.5500000000000003,1.7874999999999999,1.8933333333333333,6.17,5.05,1.47,1,Late Evening
belgium,1,1920,2019-08-17,Kortrijk,Anderlecht,4.0,2.0,H,8.0,9.0,5.0,5.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,1,15.0,21.0,1,2.8816666666666664,2.3033333333333332,3.565,1.7033333333333331,2.13,1.4175,2.05,3.54,3.76,2.06,0,Evening
belgium,1,1920,2019-08-18,Standard,Mouscron,4.0,1.0,H,10.0,2.0,6.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,6.0,1,8.0,16.0,1,1.5,5.926666666666667,4.355,1.6366666666666667,2.243333333333333,1.155,1.9833333333333334,1.59,4.22,5.78,1,Afternoon
belgium,1,1920,2019-08-18,Antwerp,St Truiden,2.0,0.0,H,15.0,6.0,4.0,3.0,5.0,4.0,0.0,4.0,0.0,1.0,6.0,1,14.0,13.0,0,1.5066666666666666,5.963333333333334,4.258333333333333,1.7166666666666668,2.1166666666666667,1.18,1.9533333333333331,1.66,4.14,5.15,1,Evening
belgium,1,1920,2019-08-18,Gent,Oostende,2.0,0.0,H,11.0,5.0,4.0,2.0,5.0,4.0,0.0,1.0,0.0,0.0,6.0,1,6.0,15.0,0,1.3583333333333334,7.81,5.171666666666667,1.5,2.5533333333333332,1.1549999999999998,1.8200000000000003,1.31,5.88,9.28,1,Late Evening
belgium,1,1920,2019-08-19,Waregem,Charleroi,3.0,1.0,H,5.0,4.0,3.0,2.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0,13.0,15.0,1,2.8216666666666668,2.3333333333333335,3.563333333333333,1.6366666666666667,2.25,1.425,2.0433333333333334,2.73,3.79,2.47,0,Late Evening
belgium,1,1920,2019-08-23,Genk,Anderlecht,1.0,0.0,H,6.0,8.0,4.0,2.0,5.0,10.0,0.0,1.0,0.0,0.0,4.0,0,8.0,16.0,0,1.7550000000000001,4.27,3.8733333333333335,1.6600000000000001,2.216666666666667,1.315,1.86,2.06,3.81,3.49,0,Late Evening
belgium,1,1920,2019-08-24,Cercle Brugge,Waasland-Beveren,1.0,0.0,H,7.0,10.0,2.0,2.0,3.0,7.0,2.0,1.0,0.0,0.0,5.0,1,13.0,8.0,0,1.9866666666666666,3.405,3.768333333333333,1.5333333333333332,2.4499999999999997,1.3725,1.8566666666666667,1.82,4.22,4.0,0,Late Evening
belgium,1,1920,2019-08-24,St Truiden,Waregem,0.0,0.0,D,13.0,8.0,2.0,2.0,5.0,4.0,2.0,1.0,0.0,0.0,5.0,1,15.0,15.0,0,2.2516666666666665,2.9183333333333334,3.65,1.47,2.6633333333333336,1.44,1.8499999999999999,2.94,3.83,2.31,0,Late Evening
belgium,1,1920,2019-08-24,Oostende,Mechelen,2.0,1.0,H,13.0,11.0,8.0,6.0,6.0,9.0,2.0,3.0,0.0,0.0,5.0,1,18.0,12.0,1,3.035,2.216666666666667,3.5683333333333334,1.6866666666666665,2.1533333333333338,1.5,1.9433333333333334,2.94,3.71,2.35,0,Late Evening
belgium,1,1920,2019-08-25,Standard,Kortrijk,2.0,1.0,H,8.0,6.0,5.0,2.0,7.0,3.0,2.0,3.0,1.0,0.0,6.0,1,9.0,18.0,1,1.5099999999999998,5.8066666666666675,4.385000000000001,1.63,2.26,1.145,2.0,1.48,4.61,6.79,1,Evening
belgium,1,1920,2019-08-25,Mouscron,Eupen,2.0,0.0,H,5.0,6.0,4.0,2.0,6.0,6.0,3.0,3.0,0.0,0.0,6.0,1,17.0,11.0,0,1.7149999999999999,4.596666666666667,3.785,1.7933333333333337,2.0233333333333334,1.265,1.9233333333333331,1.99,3.5,4.09,0,Late Evening
belgium,1,1920,2019-08-30,Mechelen,Mouscron,2.0,2.0,D,8.0,10.0,4.0,5.0,5.0,7.0,1.0,1.0,0.0,0.0,4.0,0,13.0,16.0,1,1.955,3.7550000000000003,3.5833333333333335,1.8666666666666665,1.9566666666666663,1.39,1.8433333333333335,2.07,3.47,3.8,0,Late Evening
belgium,1,1920,2019-08-31,Waasland-Beveren,Charleroi,0.0,4.0,A,5.0,7.0,1.0,6.0,7.0,4.0,1.0,0.0,0.0,0.0,5.0,1,18.0,11.0,1,3.8850000000000002,1.8399999999999999,3.8716666666666666,1.6833333333333333,2.1666666666666665,1.6275,1.8566666666666667,4.58,4.38,1.69,0,Late Evening
belgium,1,1920,2019-08-31,Eupen,St Truiden,0.0,2.0,A,16.0,10.0,6.0,3.0,7.0,1.0,2.0,1.0,0.0,0.0,5.0,1,14.0,7.0,0,2.268333333333333,2.891666666666667,3.6616666666666666,1.6133333333333333,2.3033333333333332,1.425,1.8733333333333333,2.26,3.75,3.06,0,Evening
belgium,1,1920,2019-08-31,Kortrijk,Oostende,2.0,2.0,D,6.0,12.0,3.0,3.0,7.0,1.0,1.0,1.0,0.0,0.0,5.0,1,16.0,15.0,1,2.0066666666666664,3.42,3.7550000000000003,1.6233333333333333,2.276666666666667,1.375,1.8566666666666667,1.86,4.09,3.94,0,Late Evening
belgium,1,1920,2019-09-01,Anderlecht,Standard,1.0,0.0,H,10.0,11.0,4.0,5.0,1.0,3.0,2.0,2.0,0.0,0.0,6.0,1,15.0,12.0,0,2.1249999999999996,3.2600000000000002,3.558333333333333,1.6600000000000001,2.2133333333333334,1.35,1.9733333333333334,2.41,3.51,2.99,0,Evening
belgium,1,1920,2019-09-01,Club Brugge,Genk,1.0,1.0,D,10.0,13.0,5.0,3.0,6.0,5.0,2.0,4.0,0.0,0.0,6.0,1,16.0,13.0,0,1.765,4.198333333333333,3.8883333333333336,1.6600000000000001,2.2133333333333334,1.3225,1.84,1.58,4.58,5.34,0,Afternoon
belgium,1,1920,2019-09-01,Waregem,Antwerp,2.0,0.0,H,10.0,3.0,4.0,2.0,5.0,6.0,0.0,2.0,0.0,0.0,6.0,1,7.0,16.0,0,2.7083333333333335,2.3816666666666664,3.703333333333333,1.6133333333333335,2.2966666666666664,1.525,1.83,2.79,3.68,2.47,0,Late Evening
belgium,1,1920,2019-09-01,Gent,Cercle Brugge,3.0,2.0,H,17.0,7.0,8.0,3.0,4.0,2.0,1.0,4.0,0.0,0.0,6.0,1,12.0,16.0,1,1.2883333333333333,8.94,5.816666666666667,1.3766666666666667,3.0066666666666664,1.0724999999999998,1.8433333333333335,1.28,6.18,9.92,1,Late Evening
belgium,1,1920,2019-09-13,Charleroi,Genk,2.0,1.0,H,3.0,11.0,3.0,4.0,1.0,3.0,6.0,1.0,0.0,0.0,4.0,0,14.0,8.0,1,2.766666666666667,2.3866666666666663,3.578333333333333,1.616666666666667,2.2966666666666664,1.3900000000000001,2.1133333333333333,2.95,3.58,2.4,0,Late Evening
belgium,1,1920,2019-09-14,Cercle Brugge,Club Brugge,0.0,2.0,A,11.0,8.0,4.0,4.0,3.0,9.0,1.0,2.0,0.0,0.0,5.0,1,13.0,6.0,0,9.271666666666667,1.2750000000000001,5.955000000000001,1.3933333333333333,2.94,1.9325,1.7666666666666666,12.08,6.45,1.24,1,Late Evening
belgium,1,1920,2019-09-14,St Truiden,Waasland-Beveren,1.0,1.0,D,4.0,12.0,2.0,4.0,6.0,9.0,2.0,1.0,0.0,0.0,5.0,1,12.0,11.0,0,1.6349999999999998,4.723333333333334,4.235,1.4766666666666666,2.62,1.3275,1.75,1.75,4.0,4.61,1,Late Evening
belgium,1,1920,2019-09-14,Oostende,Standard,1.0,4.0,A,4.0,10.0,3.0,8.0,2.0,9.0,0.0,2.0,0.0,0.0,5.0,1,11.0,10.0,1,4.3950000000000005,1.6816666666666666,4.171666666666667,1.5633333333333332,2.4066666666666667,1.665,1.8933333333333333,4.29,4.4,1.73,0,Evening
belgium,1,1920,2019-09-14,Eupen,Waregem,1.0,1.0,D,9.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,0.0,1.0,5.0,1,18.0,20.0,0,2.7516666666666665,2.3366666666666664,3.721666666666667,1.5599999999999998,2.4033333333333338,1.3825,2.083333333333333,2.92,3.71,2.36,0,Late Evening
belgium,1,1920,2019-09-15,Gent,Mechelen,3.0,0.0,H,13.0,4.0,9.0,0.0,7.0,4.0,1.0,3.0,0.0,0.0,6.0,1,10.0,9.0,1,1.4966666666666668,5.873333333333332,4.5,1.5566666666666666,2.4233333333333333,1.1275,2.026666666666667,1.52,4.58,6.06,1,Evening
belgium,1,1920,2019-09-15,Anderlecht,Antwerp,1.0,2.0,A,10.0,13.0,2.0,8.0,11.0,4.0,4.0,4.0,1.0,0.0,6.0,1,13.0,13.0,1,1.9916666666666665,3.5499999999999994,3.6500000000000004,1.7833333333333332,2.0466666666666664,1.3824999999999998,1.8499999999999999,2.37,3.52,3.04,0,Afternoon
