Country,League,Season,Match_Date,Home_Team,Away_Team,Full_Time_Home_Team_Goals,Full_Time_Away_Team_Goals,Full_Time_Result,Home_Team_Shots,Away_Team_Shots,Home_Team_Shots_on_Target,Away_Team_Shots_on_Target,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Away_Team_Red_Cards,DayOfWeek,is_Weekend,Home_Team_Fouls_Committed,Away_Team_Fouls_Committed,over_2.5,Average_home_win_odds,Average_away_win_odds,Average_draw_odds,Average_over_2.5_goals_odds,Average_under_2.5_goals_odds,Average_Asian_Handicap_Home_odds,Average_Asian_Handicap_Away_odds,Close_home_win_odds,Close_draw_odds,Close_away_win_odds,has_favorite,Time_kick_off_bin
england,0,1718,2017-08-11,Arsenal,Leicester,4.0,3.0,H,27.0,6.0,10.0,3.0,9.0,4.0,0.0,1.0,0.0,0.0,4.0,0,9.0,12.0,1,1.505,6.505,4.46,1.61,2.32,0.42500000000000004,2.02,1.49,4.73,7.25,1,Afternoon
england,0,1718,2017-08-12,Brighton,Man City,0.0,2.0,A,6.0,14.0,2.0,4.0,3.0,10.0,0.0,2.0,0.0,0.0,5.0,1,6.0,9.0,0,10.13125,1.3250000000000002,5.268750000000001,1.63,2.27,1.705,1.96,11.75,6.15,1.29,1,Afternoon
england,0,1718,2017-08-12,Crystal Palace,Huddersfield,0.0,3.0,A,14.0,8.0,4.0,6.0,12.0,9.0,1.0,3.0,0.0,0.0,5.0,1,7.0,19.0,1,1.81875,4.8225,3.4975,2.11,1.72,0.6499999999999999,1.83,1.79,3.56,5.51,1,Afternoon
england,0,1718,2017-08-12,Chelsea,Burnley,2.0,3.0,A,19.0,10.0,6.0,5.0,8.0,5.0,3.0,3.0,2.0,0.0,5.0,1,16.0,11.0,1,1.2425,14.115,6.1325,1.66,2.23,0.10999999999999999,1.9,1.33,5.4,12.25,1,Afternoon
england,0,1718,2017-08-12,Everton,Stoke,1.0,0.0,H,9.0,9.0,4.0,1.0,6.0,7.0,1.0,1.0,0.0,0.0,5.0,1,13.0,10.0,0,1.6949999999999998,5.5075,3.6900000000000004,2.08,1.76,0.575,1.98,1.82,3.49,5.42,1,Afternoon
england,0,1718,2017-08-12,Watford,Liverpool,3.0,3.0,D,9.0,14.0,4.0,5.0,3.0,3.0,0.0,3.0,0.0,0.0,5.0,1,14.0,8.0,1,5.786250000000001,1.605,4.06875,1.82,1.99,1.42,2.04,6.88,4.27,1.56,1,Afternoon
england,0,1718,2017-08-12,West Brom,Bournemouth,1.0,0.0,H,16.0,9.0,6.0,2.0,8.0,2.0,3.0,1.0,0.0,0.0,5.0,1,15.0,3.0,0,2.42375,3.13125,3.2175000000000002,2.16,1.7,0.915,1.81,2.65,3.21,3.02,0,Afternoon
england,0,1718,2017-08-12,Southampton,Swansea,0.0,0.0,D,29.0,4.0,2.0,0.0,13.0,0.0,2.0,1.0,0.0,0.0,5.0,1,10.0,13.0,0,1.62,5.953749999999999,3.86,2.08,1.75,0.515,2.1,1.56,4.25,6.85,1,Afternoon
england,0,1718,2017-08-13,Man United,West Ham,4.0,0.0,H,22.0,9.0,6.0,1.0,11.0,1.0,2.0,2.0,0.0,0.0,6.0,1,19.0,7.0,1,1.31,10.72375,5.3774999999999995,1.7,2.16,0.22999999999999998,1.92,1.31,5.79,12.01,1,Afternoon
england,0,1718,2017-08-13,Newcastle,Tottenham,0.0,2.0,A,6.0,18.0,3.0,6.0,5.0,7.0,1.0,2.0,1.0,0.0,6.0,1,6.0,10.0,0,5.195,1.69875,3.8525,1.81,2.01,1.375,1.87,4.82,3.9,1.8,1,Afternoon
england,0,1718,2017-08-19,Southampton,West Ham,3.0,2.0,H,14.0,16.0,5.0,8.0,7.0,2.0,1.0,1.0,0.0,1.0,5.0,1,18.0,10.0,1,1.7174999999999998,4.9925,3.7375,1.84,1.98,0.58,1.96,1.7,4.02,5.45,1,Afternoon
england,0,1718,2017-08-19,Swansea,Man United,0.0,4.0,A,6.0,17.0,1.0,8.0,3.0,5.0,1.0,1.0,0.0,0.0,5.0,1,12.0,11.0,1,10.405,1.3525,4.8774999999999995,1.9,1.93,1.68,1.78,11.55,5.25,1.34,1,Afternoon
england,0,1718,2017-08-19,Stoke,Arsenal,1.0,0.0,H,11.0,18.0,4.0,6.0,2.0,9.0,0.0,0.0,0.0,0.0,5.0,1,6.0,11.0,0,4.4875,1.815,3.69875,1.8,2.03,1.28,1.83,4.37,3.92,1.86,0,Afternoon
england,0,1718,2017-08-19,Bournemouth,Watford,0.0,2.0,A,6.0,19.0,2.0,7.0,8.0,5.0,1.0,3.0,0.0,0.0,5.0,1,6.0,14.0,0,1.9612500000000002,3.995,3.53625,1.82,2.01,0.73,1.93,2.1,3.52,3.84,0,Afternoon
england,0,1718,2017-08-19,Leicester,Brighton,2.0,0.0,H,14.0,5.0,4.0,2.0,6.0,2.0,1.0,0.0,0.0,0.0,5.0,1,8.0,10.0,0,1.73625,5.21125,3.65625,1.96,1.86,0.595,1.93,1.76,3.73,5.45,1,Afternoon
england,0,1718,2017-08-19,Burnley,West Brom,0.0,1.0,A,20.0,8.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,5.0,1,11.0,11.0,0,2.54125,3.0462499999999997,3.0999999999999996,2.46,1.54,0.97,1.74,2.75,3.01,3.09,0,Afternoon
england,0,1718,2017-08-19,Liverpool,Crystal Palace,1.0,0.0,H,23.0,4.0,13.0,1.0,4.0,2.0,1.0,3.0,0.0,0.0,5.0,1,12.0,13.0,0,1.3575,8.82875,5.07625,1.57,2.4,0.2849999999999999,1.82,1.39,5.31,9.0,1,Afternoon
england,0,1718,2017-08-20,Tottenham,Chelsea,1.0,2.0,A,18.0,9.0,6.0,2.0,14.0,3.0,3.0,3.0,0.0,0.0,6.0,1,14.0,21.0,1,2.06875,3.65,3.455,1.9,1.92,0.7849999999999999,1.83,2.16,3.36,3.84,0,Afternoon
england,0,1718,2017-08-20,Huddersfield,Newcastle,1.0,0.0,H,7.0,13.0,3.0,5.0,7.0,3.0,3.0,4.0,0.0,0.0,6.0,1,13.0,10.0,0,2.4262499999999996,3.13125,3.22,2.22,1.67,0.915,1.81,2.83,3.21,2.81,0,Afternoon
england,0,1718,2017-08-21,Man City,Everton,1.0,1.0,D,19.0,7.0,6.0,2.0,7.0,1.0,1.0,2.0,1.0,1.0,0.0,0,7.0,9.0,0,1.3175,9.7575,5.4575,1.61,2.33,0.18500000000000005,2.0,1.3,6.15,11.1,1,Afternoon
england,0,1718,2017-08-26,Watford,Brighton,0.0,0.0,D,8.0,16.0,0.0,2.0,3.0,11.0,0.0,1.0,1.0,0.0,5.0,1,7.0,18.0,0,1.9375,4.255,3.38,2.21,1.67,0.735,1.93,2.23,3.23,3.81,0,Afternoon
england,0,1718,2017-08-26,Huddersfield,Southampton,0.0,0.0,D,16.0,6.0,6.0,3.0,5.0,4.0,0.0,1.0,0.0,0.0,5.0,1,10.0,10.0,0,3.78875,2.115,3.28375,2.19,1.68,1.185,1.78,4.21,3.48,2.02,0,Afternoon
england,0,1718,2017-08-26,Newcastle,West Ham,3.0,0.0,H,16.0,8.0,8.0,3.0,7.0,5.0,1.0,3.0,0.0,0.0,5.0,1,17.0,11.0,1,2.2924999999999995,3.2800000000000002,3.32625,1.94,1.88,0.86,1.92,2.36,3.45,3.26,0,Afternoon
england,0,1718,2017-08-26,Crystal Palace,Swansea,0.0,2.0,A,16.0,7.0,3.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,5.0,1,9.0,6.0,0,1.9425,4.2575,3.41875,2.15,1.71,0.72,2.28,2.12,3.3,4.09,0,Afternoon
england,0,1718,2017-08-26,Man United,Leicester,2.0,0.0,H,22.0,11.0,7.0,4.0,9.0,3.0,1.0,2.0,0.0,0.0,5.0,1,8.0,7.0,0,1.32125,10.25375,5.359999999999999,1.65,2.25,0.245,1.9,1.33,5.6,11.25,1,Afternoon
england,0,1718,2017-08-27,West Brom,Stoke,1.0,1.0,D,10.0,16.0,2.0,2.0,10.0,4.0,2.0,2.0,0.0,0.0,6.0,1,10.0,9.0,0,2.3762499999999998,3.3449999999999998,3.1,2.59,1.5,0.8799999999999999,1.88,2.66,3.15,3.06,0,Afternoon
england,0,1718,2017-08-27,Chelsea,Everton,2.0,0.0,H,18.0,7.0,7.0,0.0,6.0,3.0,2.0,2.0,0.0,0.0,6.0,1,12.0,7.0,0,1.44625,7.92,4.436249999999999,1.92,1.9,0.4099999999999999,1.82,1.53,4.35,7.4,1,Afternoon
england,0,1718,2017-08-27,Liverpool,Arsenal,4.0,0.0,H,18.0,8.0,10.0,0.0,4.0,3.0,2.0,4.0,0.0,0.0,6.0,1,6.0,9.0,1,2.15,3.39,3.5462499999999997,1.58,2.38,0.805,2.03,2.21,3.67,3.25,0,Afternoon
england,0,1718,2017-08-27,Tottenham,Burnley,1.0,1.0,D,28.0,13.0,5.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,6.0,1,9.0,9.0,0,1.245,13.47875,6.11375,1.66,2.23,0.09499999999999997,1.95,1.22,7.25,16.0,1,Afternoon
england,0,1718,2017-09-09,Southampton,Watford,0.0,2.0,A,9.0,12.0,1.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,5.0,1,8.0,11.0,0,1.65125,5.66375,3.84,1.97,1.85,0.545,2.05,1.69,3.99,5.58,1,Afternoon
england,0,1718,2017-09-09,Brighton,West Brom,3.0,1.0,H,12.0,12.0,6.0,3.0,2.0,6.0,2.0,0.0,0.0,0.0,5.0,1,9.0,4.0,1,2.65125,2.9837499999999997,3.02625,2.6,1.49,0.9850000000000001,1.71,2.71,3.05,3.09,0,Afternoon
england,0,1718,2017-09-09,Everton,Tottenham,0.0,3.0,A,12.0,15.0,1.0,6.0,7.0,3.0,3.0,1.0,0.0,0.0,5.0,1,14.0,14.0,1,3.69125,2.0962500000000004,3.40625,2.04,1.79,1.185,1.79,3.98,3.55,2.05,0,Afternoon
england,0,1718,2017-09-09,Leicester,Chelsea,1.0,2.0,A,8.0,16.0,2.0,6.0,2.0,9.0,1.0,0.0,0.0,0.0,5.0,1,11.0,8.0,1,4.5525,1.80125,3.7325,1.86,1.96,1.29,2.06,5.0,3.83,1.79,0,Afternoon
england,0,1718,2017-09-09,Arsenal,Bournemouth,3.0,0.0,H,17.0,7.0,9.0,2.0,10.0,3.0,0.0,1.0,0.0,0.0,5.0,1,14.0,10.0,1,1.36,8.376249999999999,5.3375,1.4,2.89,0.255,2.15,1.31,6.4,10.0,1,Afternoon
england,0,1718,2017-09-09,Man City,Liverpool,5.0,0.0,H,13.0,10.0,7.0,3.0,8.0,3.0,2.0,2.0,0.0,1.0,5.0,1,10.0,9.0,1,1.87375,4.045,3.8137499999999998,1.53,2.51,0.685,2.02,1.89,3.98,4.14,0,Afternoon
england,0,1718,2017-09-09,Stoke,Man United,2.0,2.0,D,10.0,18.0,5.0,8.0,5.0,11.0,0.0,0.0,0.0,0.0,5.0,1,10.0,10.0,1,7.0175,1.50875,4.26625,1.88,1.94,1.525,1.84,7.4,4.45,1.51,1,Afternoon
england,0,1718,2017-09-10,Burnley,Crystal Palace,1.0,0.0,H,4.0,23.0,2.0,5.0,3.0,13.0,1.0,1.0,0.0,0.0,6.0,1,7.0,14.0,0,2.3562499999999997,3.2937499999999997,3.19625,2.35,1.59,0.865,1.9,2.2,3.36,3.73,0,Afternoon
england,0,1718,2017-09-10,Swansea,Newcastle,0.0,1.0,A,10.0,16.0,4.0,8.0,7.0,5.0,2.0,3.0,0.0,0.0,6.0,1,11.0,15.0,0,2.3625000000000003,3.24125,3.2037500000000003,2.17,1.7,0.8899999999999999,1.86,2.52,3.26,3.16,0,Afternoon
england,0,1718,2017-09-11,West Ham,Huddersfield,2.0,0.0,H,19.0,10.0,3.0,2.0,10.0,3.0,1.0,2.0,0.0,0.0,0.0,0,11.0,14.0,0,1.92,4.282500000000001,3.465,1.99,1.83,0.71,1.96,2.08,3.36,4.14,0,Afternoon
england,0,1718,2017-09-15,Bournemouth,Brighton,2.0,1.0,H,15.0,9.0,3.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,4.0,0,5.0,12.0,1,2.145,3.64375,3.34125,2.06,1.77,0.79,2.05,2.17,3.41,3.76,0,Afternoon
england,0,1718,2017-09-16,Watford,Man City,0.0,6.0,A,7.0,28.0,1.0,10.0,3.0,11.0,2.0,0.0,0.0,0.0,5.0,1,8.0,6.0,1,8.85375,1.3399999999999999,5.44375,1.5,2.57,1.7,1.98,9.35,6.1,1.33,1,Afternoon
england,0,1718,2017-09-16,Crystal Palace,Southampton,0.0,1.0,A,14.0,13.0,3.0,4.0,5.0,5.0,5.0,1.0,0.0,0.0,5.0,1,14.0,13.0,0,2.9425,2.54875,3.22875,2.3,1.62,1.035,1.81,2.89,3.26,2.72,0,Afternoon
england,0,1718,2017-09-16,Liverpool,Burnley,1.0,1.0,D,35.0,5.0,9.0,4.0,12.0,2.0,1.0,2.0,0.0,0.0,5.0,1,7.0,9.0,0,1.27125,12.1175,5.77375,1.55,2.44,0.09499999999999997,1.92,1.26,6.6,13.0,1,Afternoon
england,0,1718,2017-09-16,Newcastle,Stoke,2.0,1.0,H,14.0,13.0,3.0,4.0,7.0,5.0,3.0,1.0,0.0,0.0,5.0,1,13.0,11.0,1,2.34,3.29875,3.21125,2.17,1.69,0.87,1.88,2.17,3.45,3.71,0,Afternoon
england,0,1718,2017-09-16,West Brom,West Ham,0.0,0.0,D,6.0,9.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,5.0,1,15.0,7.0,0,2.3375000000000004,3.3025,3.21125,2.2,1.68,0.87,1.89,2.34,3.27,3.49,0,Afternoon
england,0,1718,2017-09-16,Tottenham,Swansea,0.0,0.0,D,26.0,4.0,8.0,0.0,11.0,1.0,1.0,3.0,0.0,0.0,5.0,1,11.0,9.0,0,1.23125,13.532499999999999,6.411428571428571,1.54,2.46,0.05500000000000005,2.02,1.21,7.95,14.25,1,Afternoon
england,0,1718,2017-09-16,Huddersfield,Leicester,1.0,1.0,D,15.0,10.0,3.0,1.0,8.0,4.0,1.0,1.0,0.0,0.0,5.0,1,6.0,6.0,0,3.29625,2.2875,3.325,2.05,1.77,1.095,1.93,3.62,3.39,2.23,0,Afternoon
england,0,1718,2017-09-17,Man United,Everton,4.0,0.0,H,16.0,7.0,7.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,6.0,1,15.0,14.0,1,1.34125,10.245000000000001,5.06125,1.76,2.07,0.25,2.15,1.35,5.33,10.31,1,Afternoon
england,0,1718,2017-09-17,Chelsea,Arsenal,0.0,0.0,D,13.0,11.0,4.0,2.0,5.0,1.0,1.0,3.0,1.0,0.0,6.0,1,11.0,15.0,0,1.7950000000000002,4.42375,3.83375,1.62,2.3,0.635,1.85,1.77,3.99,4.88,0,Afternoon
england,0,1718,2017-09-23,West Ham,Tottenham,2.0,3.0,A,10.0,15.0,4.0,5.0,4.0,3.0,4.0,2.0,0.0,1.0,5.0,1,10.0,20.0,1,5.6187499999999995,1.61,4.130000000000001,1.69,2.18,1.4300000000000002,2.01,5.85,4.37,1.61,1,Afternoon
england,0,1718,2017-09-23,Swansea,Watford,1.0,2.0,A,10.0,8.0,3.0,4.0,5.0,4.0,1.0,3.0,0.0,0.0,5.0,1,9.0,16.0,1,2.34,3.225,3.2625,2.09,1.75,0.8799999999999999,1.87,2.42,3.24,3.35,0,Afternoon
england,0,1718,2017-09-23,Man City,Crystal Palace,5.0,0.0,H,25.0,5.0,9.0,0.0,8.0,2.0,3.0,1.0,0.0,0.0,5.0,1,6.0,7.0,1,1.1412499999999999,19.466250000000002,8.855,1.36,3.13,-0.19499999999999995,2.02,1.13,11.0,21.0,1,Afternoon
england,0,1718,2017-09-23,Southampton,Man United,0.0,1.0,A,14.0,9.0,4.0,4.0,8.0,4.0,1.0,4.0,0.0,0.0,5.0,1,12.0,9.0,0,5.1475,1.73125,3.6887499999999998,2.03,1.78,1.33,1.96,4.77,3.74,1.84,1,Afternoon
england,0,1718,2017-09-23,Burnley,Huddersfield,0.0,0.0,D,5.0,9.0,3.0,2.0,3.0,4.0,3.0,2.0,0.0,0.0,5.0,1,9.0,13.0,0,2.16625,3.73125,3.18375,2.4,1.57,0.8,2.03,2.41,3.16,3.46,0,Afternoon
england,0,1718,2017-09-23,Stoke,Chelsea,0.0,4.0,A,13.0,7.0,2.0,4.0,5.0,0.0,2.0,2.0,0.0,0.0,5.0,1,5.0,14.0,1,5.75625,1.61375,3.98625,1.78,2.05,1.44,1.77,6.65,4.6,1.53,1,Afternoon
england,0,1718,2017-09-23,Everton,Bournemouth,2.0,1.0,H,12.0,8.0,4.0,4.0,4.0,6.0,3.0,1.0,0.0,0.0,5.0,1,12.0,11.0,1,1.67,5.4712499999999995,3.83125,1.85,1.96,0.565,2.0,1.74,3.85,5.37,1,Afternoon
england,0,1718,2017-09-24,Brighton,Newcastle,1.0,0.0,H,7.0,17.0,3.0,5.0,2.0,8.0,2.0,1.0,0.0,0.0,6.0,1,6.0,8.0,0,2.71625,2.8175,3.11625,2.4,1.57,1.025,1.66,2.89,3.15,2.8,0,Afternoon
england,0,1718,2017-09-25,Arsenal,West Brom,2.0,0.0,H,16.0,7.0,6.0,3.0,7.0,4.0,1.0,4.0,0.0,0.0,0.0,0,8.0,17.0,0,1.3362500000000002,9.6175,5.265000000000001,1.64,2.25,0.25,1.88,1.34,5.56,10.78,1,Afternoon
england,0,1718,2017-09-30,Chelsea,Man City,0.0,1.0,A,4.0,17.0,2.0,6.0,4.0,8.0,0.0,2.0,0.0,0.0,5.0,1,8.0,13.0,0,2.7649999999999997,2.51,3.42125,1.7,2.15,1.02,1.84,2.77,3.48,2.69,0,Afternoon
england,0,1718,2017-09-30,West Brom,Watford,2.0,2.0,D,9.0,15.0,4.0,3.0,7.0,6.0,3.0,0.0,0.0,0.0,5.0,1,12.0,11.0,1,2.23375,3.4975,3.1525,2.44,1.55,0.835,1.96,2.17,3.32,3.87,0,Afternoon
england,0,1718,2017-09-30,Stoke,Southampton,2.0,1.0,H,17.0,21.0,6.0,3.0,5.0,6.0,1.0,2.0,0.0,0.0,5.0,1,11.0,10.0,1,2.8899999999999997,2.52875,3.21875,2.17,1.69,1.0,2.14,2.95,3.32,2.63,0,Afternoon
england,0,1718,2017-09-30,Bournemouth,Leicester,0.0,0.0,D,19.0,8.0,4.0,1.0,7.0,5.0,1.0,0.0,0.0,0.0,5.0,1,6.0,10.0,0,2.76625,2.545,3.3737500000000002,1.81,2.01,1.01,1.85,2.64,3.55,2.78,0,Afternoon
england,0,1718,2017-09-30,Huddersfield,Tottenham,0.0,4.0,A,6.0,14.0,1.0,7.0,4.0,7.0,1.0,1.0,0.0,0.0,5.0,1,7.0,4.0,1,8.313749999999999,1.395,4.7,1.74,2.1,1.615,1.9,9.0,4.92,1.42,1,Afternoon
england,0,1718,2017-09-30,Man United,Crystal Palace,4.0,0.0,H,18.0,6.0,7.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,5.0,1,6.0,9.0,1,1.1712500000000001,17.925,7.27375,1.58,2.36,-0.05500000000000005,1.98,1.2,7.8,17.0,1,Afternoon
england,0,1718,2017-09-30,West Ham,Swansea,1.0,0.0,H,9.0,6.0,4.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,5.0,1,15.0,13.0,0,1.855,4.44875,3.46875,2.01,1.81,0.685,2.0,1.84,3.64,4.94,0,Afternoon
england,0,1718,2017-10-01,Everton,Burnley,0.0,1.0,A,23.0,5.0,4.0,2.0,9.0,3.0,2.0,2.0,0.0,0.0,6.0,1,14.0,7.0,0,1.66,5.71125,3.6837500000000003,2.08,1.75,0.555,2.01,1.71,3.77,5.75,1,Afternoon
england,0,1718,2017-10-01,Arsenal,Brighton,2.0,0.0,H,25.0,9.0,12.0,1.0,6.0,5.0,0.0,2.0,0.0,0.0,6.0,1,7.0,8.0,0,1.2375,12.1975,6.26375,1.55,2.43,0.09499999999999997,1.93,1.26,6.65,13.5,1,Afternoon
england,0,1718,2017-10-01,Newcastle,Liverpool,1.0,1.0,D,8.0,17.0,5.0,2.0,1.0,5.0,1.0,1.0,0.0,0.0,6.0,1,11.0,6.0,0,4.91375,1.70125,3.90875,1.68,2.18,1.355,1.91,5.02,4.14,1.72,1,Afternoon
england,0,1718,2017-10-14,Tottenham,Bournemouth,1.0,0.0,H,18.0,5.0,6.0,1.0,9.0,5.0,1.0,3.0,0.0,0.0,5.0,1,9.0,7.0,0,1.20875,13.59625,7.2212499999999995,1.38,2.96,-0.015000000000000013,1.89,1.27,7.25,11.5,1,Afternoon
england,0,1718,2017-10-14,Swansea,Huddersfield,2.0,0.0,H,7.0,7.0,3.0,2.0,5.0,3.0,1.0,5.0,0.0,0.0,5.0,1,12.0,16.0,0,2.1575,3.7825,3.1925,2.52,1.51,0.795,2.04,2.09,3.32,4.16,0,Afternoon
england,0,1718,2017-10-14,Liverpool,Man United,0.0,0.0,D,19.0,6.0,5.0,1.0,7.0,3.0,0.0,2.0,0.0,0.0,5.0,1,7.0,13.0,0,2.71875,2.7075,3.29125,1.9,1.91,0.965,1.94,2.75,3.29,2.82,0,Afternoon
