Country,League,Season,Match_Date,Home_Team,Away_Team,Full_Time_Home_Team_Goals,Full_Time_Away_Team_Goals,Full_Time_Result,Home_Team_Shots,Away_Team_Shots,Home_Team_Shots_on_Target,Away_Team_Shots_on_Target,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Away_Team_Red_Cards,DayOfWeek,is_Weekend,Home_Team_Fouls_Committed,Away_Team_Fouls_Committed,over_2.5,Average_home_win_odds,Average_away_win_odds,Average_draw_odds,Average_over_2.5_goals_odds,Average_under_2.5_goals_odds,Average_Asian_Handicap_Home_odds,Average_Asian_Handicap_Away_odds,Close_home_win_odds,Close_draw_odds,Close_away_win_odds,has_favorite,Time_kick_off_bin
england,3,1718,2017-08-05,Morecambe,Cheltenham,2.0,1.0,H,10.0,12.0,6.0,5.0,4.0,7.0,3.0,1.0,0.0,0.0,5.0,1,14.0,8.0,1,2.855,2.465,3.2924999999999995,1.95,1.82,1.04,1.79,2.94,3.53,2.49,0,Afternoon
england,3,1718,2017-08-05,Luton,Yeovil,8.0,2.0,H,20.0,8.0,13.0,6.0,4.0,6.0,3.0,3.0,0.0,0.0,5.0,1,15.0,11.0,1,1.61125,5.55375,3.855,1.93,1.84,0.515,2.07,1.62,4.05,6.17,1,Afternoon
england,3,1718,2017-08-05,Stevenage,Newport County,3.0,3.0,D,10.0,19.0,4.0,9.0,2.0,7.0,0.0,0.0,0.0,0.0,5.0,1,13.0,13.0,1,2.1037500000000002,3.4925,3.34,1.96,1.81,0.81,1.75,2.39,3.46,3.15,0,Afternoon
england,3,1718,2017-08-05,Exeter,Cambridge,1.0,0.0,H,11.0,13.0,3.0,7.0,4.0,6.0,0.0,1.0,0.0,0.0,5.0,1,10.0,16.0,0,2.1587500000000004,3.4124999999999996,3.2975,2.03,1.75,0.815,1.95,2.39,3.4,3.2,0,Afternoon
england,3,1718,2017-08-05,Coventry,Notts County,3.0,0.0,H,11.0,8.0,4.0,1.0,9.0,2.0,0.0,1.0,0.0,0.0,5.0,1,13.0,12.0,1,2.1637500000000003,3.33,3.3575,1.89,1.88,0.81,1.97,2.27,3.43,3.42,0,Afternoon
england,3,1718,2017-08-05,Wycombe,Lincoln,2.0,2.0,D,7.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,5.0,1,13.0,17.0,1,2.35375,2.9775,3.28125,2.05,1.74,0.9099999999999999,1.79,2.69,3.26,2.89,0,Afternoon
england,3,1718,2017-08-05,Accrington,Colchester,3.0,1.0,H,12.0,12.0,5.0,2.0,6.0,6.0,1.0,2.0,0.0,0.0,5.0,1,12.0,14.0,1,2.12875,3.38875,3.3475,1.97,1.8,0.79,2.02,1.97,3.65,4.1,0,Afternoon
england,3,1718,2017-08-05,Crawley Town,Port Vale,1.0,3.0,A,16.0,8.0,5.0,3.0,7.0,2.0,2.0,3.0,0.0,0.0,5.0,1,12.0,15.0,1,2.9775,2.36625,3.3012500000000005,2.03,1.75,1.03,2.04,2.9,3.43,2.57,0,Afternoon
england,3,1718,2017-08-05,Chesterfield,Grimsby,1.0,3.0,A,30.0,11.0,13.0,6.0,13.0,4.0,2.0,0.0,1.0,1.0,5.0,1,8.0,9.0,1,2.15,3.36125,3.3675,1.95,1.82,0.8300000000000001,1.73,2.81,3.17,2.82,0,Afternoon
england,3,1718,2017-08-05,Crewe,Mansfield,2.0,2.0,D,9.0,17.0,8.0,6.0,7.0,6.0,4.0,5.0,0.0,0.0,5.0,1,14.0,13.0,1,3.1475,2.2874999999999996,3.2649999999999997,2.1,1.7,1.065,1.97,3.92,3.48,2.07,0,Afternoon
