Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,LBH,LBD,LBA,SYH,SYD,SYA,WHH,WHD,WHA
SC2,08/09/01,Stranraer,Queen of Sth,2.0,2.0,D,2.0,1.0,H,896.0,Charlie Richmond,9.0,7.0,4.0,3.0,0.0,0.0,7.0,7.0,12.0,18.0,0.0,5.0,4.0,2.0,0.0,0.0,40.0,20.0,,,,,,,2.1,3.5,2.75,2.3,3.5,2.5
SC2,12/01/02,Hamilton,Forfar,2.0,0.0,H,1.0,0.0,H,1693.0,"Richmond, C",10.0,11.0,4.0,2.0,0.0,1.0,5.0,5.0,12.0,8.0,3.0,4.0,2.0,1.0,0.0,0.0,20.0,10.0,2.5,3.35,2.32,2.25,3.5,2.5,2.38,3.25,2.5,2.5,3.4,2.3
SC2,06/04/02,Stranraer,Clydebank,1.0,1.0,D,0.0,0.0,D,285.0,"Gilmore, J",6.0,15.0,1.0,4.0,1.0,2.0,3.0,8.0,7.0,12.0,5.0,0.0,1.0,2.0,0.0,0.0,10.0,20.0,2.35,3.55,2.38,2.5,3.5,2.25,2.6,3.5,2.2,2.37,3.5,2.37
SC2,03/11/01,Forfar,Hamilton,3.0,0.0,H,0.0,0.0,D,498.0,D. Somers,7.0,8.0,5.0,3.0,0.0,0.0,3.0,4.0,11.0,10.0,2.0,3.0,1.0,2.0,0.0,0.0,10.0,20.0,2.35,3.4,2.45,,,,2.38,3.5,2.38,2.3,3.4,2.5
SC2,04/08/01,Forfar,Clydebank,1.0,2.0,A,1.0,1.0,D,460.0,I. G. Frickleton,5.0,5.0,3.0,3.0,0.0,0.0,6.0,9.0,13.0,15.0,3.0,3.0,2.0,2.0,0.0,0.0,20.0,20.0,,,,2.25,3.5,2.5,2.38,3.25,2.5,2.25,3.5,2.5
SC2,01/12/01,Cowdenbeath,Morton,1.0,1.0,D,0.0,1.0,A,501.0,J. Gilmour,4.0,14.0,1.0,9.0,0.0,0.0,3.0,4.0,9.0,10.0,7.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,1.95,3.3,3.3,,,,1.83,3.4,3.5,2.1,3.5,2.75
SC2,13/10/01,Clydebank,Forfar,1.0,1.0,D,0.0,1.0,A,200.0,D Smith,12.0,8.0,5.0,3.0,0.0,0.0,5.0,3.0,10.0,11.0,1.0,3.0,1.0,1.0,0.0,0.0,10.0,10.0,,,,,,,1.91,3.75,3.0,2.0,3.6,2.87
SC2,13/04/02,Queen of Sth,Hamilton,3.0,1.0,H,0.0,0.0,D,3062.0,"Frickleton, I. G.",14.0,10.0,4.0,4.0,2.0,0.0,2.0,5.0,10.0,8.0,1.0,1.0,1.0,2.0,0.0,0.0,10.0,20.0,1.53,3.8,5.0,1.61,3.5,4.5,1.5,4.333,4.333,1.44,4.33,5.0
SC2,20/04/02,Forfar,Queen of Sth,0.0,3.0,A,0.0,1.0,A,1022.0,"Fyfe, I. M.",4.0,12.0,2.0,8.0,0.0,0.0,1.0,2.0,12.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,3.5,2.3,2.25,3.5,2.5,2.25,3.6,2.5,2.37,3.5,2.37
SC2,02/09/01,Berwick,Morton,2.0,0.0,H,1.0,0.0,H,647.0,A. Hunter,19.0,10.0,6.0,5.0,4.0,1.0,9.0,6.0,21.0,17.0,3.0,1.0,2.0,1.0,0.0,0.0,20.0,10.0,,,,,,,2.5,3.6,2.25,2.62,3.5,2.2
